##culture:mono#seed:203#rep:20#mu:(0.0003, 0)#cycles:10#init_R:(2500, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
mono,0,0,0.013447866945803978,5
mono,0,1,0.013450952933764596,5
mono,0,2,0.01345539196465875,5
mono,0,3,0.013461774274245013,5
mono,0,4,0.013516071592929437,5
mono,0,5,0.01363835410525733,5
mono,0,6,0.014026770614183497,5
mono,0,7,0.015272375300277785,5
mono,0,8,0.019048107623943034,5
mono,0,9,0.028057560289351156,5
mono,1,0,0.013440843113687238,5
mono,1,1,0.013440843113687238,5
mono,1,2,0.013440843113687238,5
mono,1,3,0.013440843113687238,5
mono,1,4,0.013440843113687238,5
mono,1,5,0.013440843113687238,5
mono,1,6,0.013440843113687238,5
mono,1,7,0.013440843113687238,5
mono,1,8,0.013440843113687238,5
mono,1,9,0.013440843113687238,5
mono,2,0,0.013440843113687238,5
mono,2,1,0.013440843113687238,5
mono,2,2,0.013440843113687238,5
mono,2,3,0.013440843113687238,5
mono,2,4,0.013440843113687238,5
mono,2,5,0.013601254705293442,5
mono,2,6,0.014219037708344706,5
mono,2,7,0.01710819327529511,5
mono,2,8,0.028682577910207726,5
mono,2,9,0.056435853993829395,5
mono,3,0,0.013440843113687238,5
mono,3,1,0.01350010302508313,5
mono,3,2,0.013787334085701689,5
mono,3,3,0.015070830756134008,5
mono,3,4,0.02057465306281405,5
mono,3,5,0.03933592261525831,5
mono,3,6,0.07182857265075453,5
mono,3,7,0.09425451240460402,5
mono,3,8,0.1037767130296971,5
mono,3,9,0.1085676379886283,5
mono,4,0,0.013440843113687238,5
mono,4,1,0.013533461257826127,5
mono,4,2,0.013933199338329176,5
mono,4,3,0.016010626263822356,5
mono,4,4,0.02569585431016845,5
mono,4,5,0.055114787581448804,5
mono,4,6,0.08915608511001855,5
mono,4,7,0.10281743421713917,5
mono,4,8,0.10593524351613663,5
mono,4,9,0.1065414758486801,5
mono,5,0,0.013440843113687238,5
mono,5,1,0.013534118288212191,5
mono,5,2,0.0139371282731677,5
mono,5,3,0.015807977545695878,5
mono,5,4,0.023755069679470796,5
mono,5,5,0.04735470492247547,5
mono,5,6,0.0774624732810529,5
mono,5,7,0.09199114959217916,5
mono,5,8,0.09625793537678975,5
mono,5,9,0.09767856554709367,5
mono,6,0,0.013440843113687238,5
mono,6,1,0.013440843113687238,5
mono,6,2,0.013440843113687238,5
mono,6,3,0.013440843113687238,5
mono,6,4,0.013440843113687238,5
mono,6,5,0.013440843113687238,5
mono,6,6,0.01355008642806855,5
mono,6,7,0.013918118595326942,5
mono,6,8,0.015652280597940126,5
mono,6,9,0.023358977211936652,5
mono,7,0,0.013440843113687238,5
mono,7,1,0.013440843113687238,5
mono,7,2,0.013440843113687238,5
mono,7,3,0.013440843113687238,5
mono,7,4,0.013440843113687238,5
mono,7,5,0.013440843113687238,5
mono,7,6,0.013440843113687238,5
mono,7,7,0.013440843113687238,5
mono,7,8,0.013440843113687238,5
mono,7,9,0.013440843113687238,5
mono,8,0,0.013440843113687238,5
mono,8,1,0.013440843113687238,5
mono,8,2,0.013440843113687238,5
mono,8,3,0.013440843113687238,5
mono,8,4,0.013440843113687238,5
mono,8,5,0.013440843113687238,5
mono,8,6,0.013440843113687238,5
mono,8,7,0.013440843113687238,5
mono,8,8,0.013484671055771936,5
mono,8,9,0.013603722857173234,5
mono,9,0,0.013441356925623312,5
mono,9,1,0.01345959338226709,5
mono,9,2,0.013479402575666153,5
mono,9,3,0.013520619220574322,5
mono,9,4,0.013606088379699462,5
mono,9,5,0.013782022411025635,5
mono,9,6,0.01413868716060753,5
mono,9,7,0.014839814364249455,5
mono,9,8,0.016138206754360333,5
mono,9,9,0.01833039231538801,5
mono,10,0,0.013440843113687238,5
mono,10,1,0.013463164148188654,5
mono,10,2,0.013492352411557766,5
mono,10,3,0.013613921098000714,5
mono,10,4,0.01391977621217719,5
mono,10,5,0.014905363422969073,5
mono,10,6,0.01785190163752156,5
mono,10,7,0.02577880784169685,5
mono,10,8,0.040570637871428616,5
mono,10,9,0.055768689387438494,5
mono,11,0,0.013440843113687238,5
mono,11,1,0.013440843113687238,5
mono,11,2,0.013476428832304295,5
mono,11,3,0.01354686508059787,5
mono,11,4,0.01381312259598834,5
mono,11,5,0.014769772582403716,5
mono,11,6,0.01776137971403939,5
mono,11,7,0.026435261891848014,5
mono,11,8,0.044206823936339984,5
mono,11,9,0.06476337166182845,5
mono,12,0,0.013440843113687238,5
mono,12,1,0.013440843113687238,5
mono,12,2,0.013440843113687238,5
mono,12,3,0.013440843113687238,5
mono,12,4,0.01348929695152289,5
mono,12,5,0.013684726122741325,5
mono,12,6,0.01436934519736041,5
mono,12,7,0.017070176382338133,5
mono,12,8,0.025707032890755217,5
mono,12,9,0.04441941333872471,5
mono,13,0,0.013440843113687238,5
mono,13,1,0.013440843113687238,5
mono,13,2,0.013440843113687238,5
