seed,culture,gen,tol_time
370,mono,0,2.9764551029771003
370,mono,1,2.9764551029771003
370,mono,2,2.9764551029771003
370,mono,3,2.9764551029771003
370,mono,4,2.9764551029771003
370,mono,5,2.9764551029771003
370,mono,6,2.9764551029771003
370,mono,7,2.9764551029771003
370,mono,8,2.9795333336540764
370,mono,9,2.984026699147807
370,mono,10,2.9869113043835283
370,mono,11,2.990883370643408
370,mono,12,2.996341342254434
370,mono,13,3.003816763711273
370,mono,14,3.013978707136444
370,mono,15,3.0277661272518963
370,mono,16,3.046329315085664
370,mono,17,3.070983559680406
370,mono,18,3.1033302164365253
370,mono,19,3.144905984108246
