culture,met,rep,frac_slope
mono,7500,9,0.11449481846224602
mono,8000,0,0.1245687424891049
mono,8000,1,0.11401772182428009
mono,8000,2,0.11886561374782066
mono,8000,3,0.11085118231203371
mono,8000,4,0.1194772141747963
mono,8000,5,0.12024226691335008
mono,8000,6,0.11952284902542364
mono,8000,7,0.1172199669052452
mono,8000,8,0.12683684894937294
mono,8000,9,0.10820074944210807
mono,8500,0,0.1137441592000969
mono,8500,1,0.1132739935738126
mono,8500,2,0.12601038954567959
mono,8500,3,0.11292178754630594
mono,8500,4,0.11890812401064457
mono,8500,5,0.11656187818030563
mono,8500,6,0.1143459670478767
mono,8500,7,0.126214486991415
mono,8500,8,0.12397953510684769
mono,8500,9,0.11200443538087476
mono,9000,0,0.11982270516908401
mono,9000,1,0.12163544340220353
mono,9000,2,0.12237590323126557
mono,9000,3,0.11532739456267892
mono,9000,4,0.11338844635713914
mono,9000,5,0.11528609007580752
mono,9000,6,0.11662871376087174
mono,9000,7,0.11034845380622499
mono,9000,8,0.10991910535295468
mono,9000,9,0.11774378505358385
mono,9500,0,0.12805246838251125
mono,9500,1,0.1242457125209338
mono,9500,2,0.12231286208678925
mono,9500,3,0.124992150078422
mono,9500,4,0.11560965509949113
mono,9500,5,0.12079566063905514
mono,9500,6,0.12009448435937413
mono,9500,7,0.11356780048319154
mono,9500,8,0.1137959729883839
mono,9500,9,0.11482833354594826
