rep,gen,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,15,2,Salmonella enterica,S0g0,1.518984765599406e-08,278.7166471084341,278.71664712362394,1.0,3
0,15,2,Salmonella enterica,S1g15,1.078865241787469e-05,3.0797554013552624,3.07976619000768,1.8614231584004939,3
0,16,1,Escherichia coli,E0g0,26.16748238612799,25.008561844339848,51.17604423046784,1.0,3
0,16,1,Salmonella enterica,S0g0,13.876484776366386,44.0353332327336,57.91181800909999,1.0,3
0,16,1,Salmonella enterica,S1g15,0.6145798640430218,0.5594753155435014,1.174055179586523,1.8614231584004939,3
0,16,2,Escherichia coli,E0g0,2.723966981401227e-08,525.5879695946146,525.5879696218543,1.0,3
0,16,2,Salmonella enterica,S0g0,1.4445060396341808e-08,277.3216484133979,277.32164842784294,1.0,3
0,16,2,Salmonella enterica,S1g15,6.632099435377421e-06,4.721253367657053,4.721259999756488,1.8614231584004939,3
0,17,1,Escherichia coli,E0g0,26.167484197143693,25.008580326633673,51.17606452377737,1.0,3
0,17,1,Salmonella enterica,S0g0,13.807031880852398,43.80613753324458,57.61316941409698,1.0,3
0,17,1,Salmonella enterica,S1g15,0.9421466272914815,0.8575291994868897,1.7996758267783712,1.8614231584004939,3
0,17,2,Escherichia coli,E0g0,2.805297429931448e-08,525.5879797404529,525.5879797685059,1.0,3
0,17,2,Salmonella enterica,S0g0,1.4801893357293117e-08,274.99248927401055,274.99248928881246,1.0,3
0,17,2,Salmonella enterica,S1g15,1.0162944949724876e-05,7.213894986993587,7.213905149938537,1.8614231584004939,3
0,18,1,Escherichia coli,E0g0,26.167484702413695,25.00862521349955,51.176109915913244,1.0,3
0,18,1,Salmonella enterica,S0g0,13.691069875519366,43.41489759471823,57.105967470237594,1.0,3
0,18,1,Salmonella enterica,S1g15,1.4395641008896167,1.309675743190192,2.749239844079809,1.8614231584004939,3
0,18,2,Escherichia coli,E0g0,2.7743283789913188e-08,525.5880024368291,525.5880024645725,1.0,3
0,18,2,Salmonella enterica,S0g0,1.4515542522106215e-08,271.45216365491837,271.4521636694339,1.0,3
0,18,2,Salmonella enterica,S1g15,1.5527777150789992e-05,10.975396258136715,10.975411785913867,1.8614231584004939,3
0,19,1,Escherichia coli,E0g0,26.1674858326707,25.008695770953256,51.17618160362396,1.0,3
0,19,1,Salmonella enterica,S0g0,13.514807441873675,42.820985905500564,56.335793347374235,1.0,3
0,19,1,Salmonella enterica,S1g15,2.1901880425498863,1.9911947960186804,4.181382838568567,1.8614231584004939,3
0,19,2,Escherichia coli,E0g0,2.757486954220163e-08,525.5880382808496,525.5880383084244,1.0,3
0,19,2,Salmonella enterica,S0g0,1.424168353497301e-08,266.1660322944644,266.16603230870606,1.0,3
0,19,2,Salmonella enterica,S1g15,2.3622317427130024e-05,16.592503930095642,16.59252755241307,1.8614231584004939,3
1,0,0,Escherichia coli,E0g0,5.0,0.0,5.0,1.0,3
1,0,0,Salmonella enterica,S0g0,5.0,0.0,5.0,1.0,3
1,0,1,Escherichia coli,E0g0,0.24893533959888786,0.5120076302492507,0.7609429698481385,1.0,3
1,0,1,Salmonella enterica,S0g0,0.24893533959888786,2.8365435730851187,3.0854789126840068,1.0,3
1,0,2,Escherichia coli,E0g0,1.1154255627352571e-10,500.3804214473914,500.38042144750295,1.0,3
1,0,2,Salmonella enterica,S0g0,1.1154255627352571e-10,254.04271405261065,254.0427140527222,1.0,3
