seed,culture,gen,tol_time
807,mono,0,2.9764551029771003
807,mono,1,2.9764551029771003
807,mono,2,2.9764551029771003
807,mono,3,2.9764551029771003
807,mono,4,2.9764551029771003
807,mono,5,2.9764551029771003
807,mono,6,2.9764551029771003
807,mono,7,2.9764551029771003
807,mono,8,2.9764551029771003
807,mono,9,2.9764551029771003
807,mono,10,2.978091622774527
807,mono,11,2.978388824861295
807,mono,12,2.9787396937396844
807,mono,13,2.9791537978582423
807,mono,14,2.9796423643073178
807,mono,15,2.9802185468830564
807,mono,16,2.980897730424348
807,mono,17,2.9816978728562145
807,mono,18,2.9826398852299336
807,mono,19,2.983748047891677
