rep,gen,phase_end,species,genotype,n,lag,Ta
0,0,0,Escherichia coli,E0g0,10.0,1.0,0
0,0,1,Escherichia coli,E0g0,1.9959797918171978,1.0,3
0,0,2,Escherichia coli,E0g0,500.9979397973564,1.0,3
0,1,1,Escherichia coli,E0g0,200.41169526922755,1.0,3
0,1,2,Escherichia coli,E0g0,600.205787738747,1.0,3
0,2,1,Escherichia coli,E0g0,240.97272682733106,1.0,3
0,2,2,Escherichia coli,E0g0,620.4863015144432,1.0,3
0,3,1,Escherichia coli,E0g0,250.2646054962052,1.0,3
0,3,2,Escherichia coli,E0g0,625.1322403893355,1.0,3
0,4,1,Escherichia coli,E0g0,253.1745615004337,1.0,3
0,4,2,Escherichia coli,E0g0,626.5872182471112,1.0,3
0,5,1,Escherichia coli,E0g0,254.49858226736868,1.0,3
0,5,2,Escherichia coli,E0g0,626.1324848788881,1.0,3
0,5,2,Escherichia coli,E1g5,1.116743690434759,1.8340893491248949,3
0,6,1,Escherichia coli,E0g0,254.61998552864418,1.0,3
0,6,1,Escherichia coli,E1g5,0.8336255019270582,1.8340893491248949,3
0,6,2,Escherichia coli,E0g0,625.051138689235,1.0,3
0,6,2,Escherichia coli,E1g5,1.5995713204759399,1.8340893491248949,3
0,6,2,Escherichia coli,E2g6,1.0760328957354264,1.9923422539183828,3
0,7,1,Escherichia coli,E0g0,254.26696932911244,1.0,3
0,7,1,Escherichia coli,E1g5,1.19430193318132,1.8340893491248949,3
0,7,1,Escherichia coli,E2g6,0.8604238660107109,1.9923422539183828,3
0,7,2,Escherichia coli,E0g0,624.2998722699457,1.0,3
0,7,2,Escherichia coli,E1g5,2.2824157077418303,1.8340893491248949,3
0,7,2,Escherichia coli,E2g6,1.5784969312146777,1.9923422539183828,3
0,8,1,Escherichia coli,E0g0,254.10098334338477,1.0,3
0,8,1,Escherichia coli,E1g5,1.7047280966469616,1.8340893491248949,3
0,8,1,Escherichia coli,E2g6,1.2626122706434832,1.9923422539183828,3
0,8,2,Escherichia coli,E0g0,621.6928213536826,1.0,3
0,8,2,Escherichia coli,E1g5,3.261100751799795,1.8340893491248949,3
0,8,2,Escherichia coli,E2g6,2.3186197896140373,1.9923422539183828,3
0,8,2,Escherichia coli,E3g8,1.2615572732181883,1.3653951855972202,3
0,9,1,Escherichia coli,E0g0,252.91329282283894,1.0,3
0,9,1,Escherichia coli,E1g5,2.434941536609108,1.8340893491248949,3
0,9,1,Escherichia coli,E2g6,1.854083555717103,1.9923422539183828,3
0,9,1,Escherichia coli,E3g8,0.7154763912303391,1.3653951855972202,3
0,9,2,Escherichia coli,E0g0,619.3627315622878,1.0,3
