rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,4,2,Salmonella enterica,S0g0,2.8489726413237877e-09,222.8770324069636,222.87703240981256,1.0,5
0,4,2,Salmonella enterica,S1g1,0.00039315244074995836,511.6857718233642,511.6861649758049,1.9376668616004866,5
0,5,1,Escherichia coli,E0g0,0.5613187459793864,0.5588427292425469,1.1201614752219333,1.0,5
0,5,1,Escherichia coli,E1g2,40.96221298405672,21.919446097825762,62.88165908188248,1.4347090168357022,5
0,5,1,Salmonella enterica,S0g0,1.5017336154518475,7.798365033662147,9.300098649113995,1.0,5
0,5,1,Salmonella enterica,S1g1,38.756114936007144,38.639796632287926,77.39591156829508,1.9376668616004866,5
0,5,2,Escherichia coli,E0g0,5.78797670883154e-10,29.75429472093269,29.75429472151149,1.0,5
0,5,2,Escherichia coli,E1g2,1.8082611091780213e-05,1392.2464554226713,1392.2464735052824,1.4347090168357022,5
0,5,2,Salmonella enterica,S0g0,1.5484961532721894e-09,94.33207608018746,94.33207608173596,1.0,5
0,5,2,Salmonella enterica,S1g1,0.0006377625215016255,650.9652169261192,650.9658546886407,1.9376668616004866,5
0,6,1,Escherichia coli,E0g0,0.20048285788281348,0.19960021708681366,0.40008307496962714,1.0,5
0,6,1,Escherichia coli,E1g2,42.6764246510325,22.83688224097906,65.51330689201156,1.4347090168357022,5
0,6,1,Salmonella enterica,S0g0,0.635604519612848,3.284649995430417,3.9202545150432653,1.0,5
0,6,1,Salmonella enterica,S1g1,49.305432137145075,48.990510597303725,98.2959427344488,1.9376668616004866,5
0,6,2,Escherichia coli,E0g0,2.073323155021862e-10,9.793320641741229,9.793320641948561,1.0,5
0,6,2,Escherichia coli,E1g2,1.88445271499966e-05,1303.910516111838,1303.9105349563652,1.4347090168357022,5
0,6,2,Escherichia coli,E2g6,4.214510917710916e-05,110.71278221304863,110.7128243581578,2.2401221393486606,5
0,6,2,Salmonella enterica,S0g0,5.0989942580625174e-08,746.4342144739713,746.4342145249612,1.0,5
0,6,2,Salmonella enterica,S1g1,1.645646341424209e-05,5.163665354121477,5.163681810584891,1.9376668616004866,5
