well,species,season,alive,n_genotypes,s,MIC,mutations,n_species,u,rep,gens,mutant_function
6,0,6,False,0,,,,1,0.001,0,20,null
7,0,6,False,0,,,,1,0.001,0,20,null
8,0,6,False,0,,,,1,0.001,0,20,null
9,0,6,False,0,,,,1,0.001,0,20,null
10,0,6,False,0,,,,1,0.001,0,20,null
11,0,6,False,0,,,,1,0.001,0,20,null
12,0,6,False,0,,,,1,0.001,0,20,null
13,0,6,False,0,,,,1,0.001,0,20,null
14,0,6,False,0,,,,1,0.001,0,20,null
0,0,7,True,11,1.6393757488343101,1.215282397969286,3.732,1,0.001,0,20,null
1,0,7,True,14,1.6701185764068853,1.226644403662768,3.9010000000000002,1,0.001,0,20,null
2,0,7,True,7,1.3832098148447904,2.6073109073253304,4.959999999999999,1,0.001,0,20,null
3,0,7,True,7,1.2898229253860731,3.3946070507586033,5.028,1,0.001,0,20,null
4,0,7,True,11,1.2881997280100022,4.06178790999566,6.043,1,0.001,0,20,null
5,0,7,False,0,,,,1,0.001,0,20,null
6,0,7,False,0,,,,1,0.001,0,20,null
7,0,7,False,0,,,,1,0.001,0,20,null
8,0,7,False,0,,,,1,0.001,0,20,null
9,0,7,False,0,,,,1,0.001,0,20,null
10,0,7,False,0,,,,1,0.001,0,20,null
11,0,7,False,0,,,,1,0.001,0,20,null
12,0,7,False,0,,,,1,0.001,0,20,null
13,0,7,False,0,,,,1,0.001,0,20,null
14,0,7,False,0,,,,1,0.001,0,20,null
0,0,8,True,14,1.7120128403560406,1.203817600505897,4.2459999999999996,1,0.001,0,20,null
1,0,8,True,10,1.7303362719040756,1.2113814254219393,4.272999999999999,1,0.001,0,20,null
2,0,8,True,9,1.4085708924258091,2.602548933813716,5.031,1,0.001,0,20,null
3,0,8,True,10,1.3040218610724192,3.405863764350999,5.202,1,0.001,0,20,null
4,0,8,True,11,1.2924368881569253,4.087704621310844,6.071999999999998,1,0.001,0,20,null
5,0,8,True,6,1.2239753627007364,5.101632940355155,7.035,1,0.001,0,20,null
6,0,8,False,0,,,,1,0.001,0,20,null
7,0,8,False,0,,,,1,0.001,0,20,null
8,0,8,False,0,,,,1,0.001,0,20,null
9,0,8,False,0,,,,1,0.001,0,20,null
10,0,8,False,0,,,,1,0.001,0,20,null
11,0,8,False,0,,,,1,0.001,0,20,null
12,0,8,False,0,,,,1,0.001,0,20,null
13,0,8,False,0,,,,1,0.001,0,20,null
14,0,8,False,0,,,,1,0.001,0,20,null
0,0,9,True,11,1.7837405402969955,1.1923647965582145,4.680999999999998,1,0.001,0,20,null
1,0,9,True,12,1.8010885448891605,1.1905840634252933,4.756,1,0.001,0,20,null
2,0,9,True,10,1.7627149352851927,2.2699281676037386,5.066999999999999,1,0.001,0,20,null
3,0,9,True,8,1.3426374022073588,3.425015552473606,5.602,1,0.001,0,20,null
4,0,9,True,12,1.2949019424482289,4.201095741232134,6.247000000000001,1,0.001,0,20,null
5,0,9,True,5,1.2237914217320072,5.103028882174371,7.047,1,0.001,0,20,null
6,0,9,False,0,,,,1,0.001,0,20,null
7,0,9,False,0,,,,1,0.001,0,20,null
8,0,9,False,0,,,,1,0.001,0,20,null
9,0,9,False,0,,,,1,0.001,0,20,null
10,0,9,False,0,,,,1,0.001,0,20,null
11,0,9,False,0,,,,1,0.001,0,20,null
12,0,9,False,0,,,,1,0.001,0,20,null
13,0,9,False,0,,,,1,0.001,0,20,null
14,0,9,False,0,,,,1,0.001,0,20,null
0,0,10,True,9,1.8333020766542012,1.1784082673414353,4.966999999999999,1,0.001,0,20,null
1,0,10,True,12,1.8698995497139137,1.2325514527716184,5.051,1,0.001,0,20,null
2,0,10,True,9,1.8436826651171259,2.379695086706947,5.286999999999999,1,0.001,0,20,null
3,0,10,True,9,1.9722618774207126,3.0165933738226416,6.0249999999999995,1,0.001,0,20,null
4,0,10,True,13,1.3106117376413053,4.359321060022374,6.381999999999999,1,0.001,0,20,null
5,0,10,True,10,1.2255967224986026,5.111962696160646,7.066000000000001,1,0.001,0,20,null
6,0,10,False,0,,,,1,0.001,0,20,null
7,0,10,False,0,,,,1,0.001,0,20,null
8,0,10,False,0,,,,1,0.001,0,20,null
9,0,10,False,0,,,,1,0.001,0,20,null
