seed,met,rratio,fracratio
1,250,4.0,1.2010637105788138
1,250,2.0,0.8129250487991028
1,250,1.3333333333333333,1.1053213469998828
2,500,4.0,1.0630726182302677
2,500,2.0,1.3413190627729443
2,500,1.3333333333333333,1.1957066837716366
3,750,4.0,0.9319192610610251
3,750,2.0,1.2025350356148572
3,750,1.3333333333333333,0.8291841486310872
