seed,culture,gen,tol_time
635,co,0,3.353099252918954
635,co,1,3.368110518276212
635,co,2,3.3721535510590797
635,co,3,3.3752268810047403
635,co,4,3.37944618465637
635,co,5,3.385722062850665
635,co,6,3.394987050834849
635,co,7,3.408351831634582
635,co,8,3.4269789865551163
635,co,9,3.451697832313101
635,co,10,3.4816325958377474
635,co,11,3.4352747021153234
635,co,12,3.4635921521694706
635,co,13,3.484675155206494
635,co,14,3.5070056648533083
635,co,15,3.534316911369436
635,co,16,3.567761484249267
635,co,17,3.607542100078449
635,co,18,3.652353899031193
635,co,19,3.6992797605646253
