seed,culture,gen,tol_time
447,co,0,3.3531553464301393
447,co,1,3.3762464922668083
447,co,2,3.383090777212193
447,co,3,3.3847561632458207
447,co,4,3.3865108356549505
447,co,5,3.3869786075782855
447,co,6,3.3873688894662117
447,co,7,3.3878001694598847
447,co,8,3.38830844472631
447,co,9,3.3893067317738588
447,co,10,3.3900793989475813
447,co,11,3.3909727272892742
447,co,12,3.392029276098568
447,co,13,3.393283389344332
447,co,14,3.394772014518925
447,co,15,3.3965375325606066
447,co,16,3.8294822625485954
447,co,17,3.9790337944063006
447,co,18,4.086143007204526
447,co,19,4.175446088334082
