seed,met,lac,fracratio
339,0,0,7.319840332371911e-09
339,0,1,2.2336567020401533e-10
339,0,5,1.0026517809606054e-09
339,0,10,-1.0
339,0,15,1.3533803977209626
339,0,20,0.0
339,1,0,-1.736778464365455e-09
339,1,1,2.016091250341274
339,1,5,4.501533188736336
339,1,10,0.7254658678028636
339,1,15,0.6834703956833399
339,1,20,0.9546992495563386
339,5,0,5.322410163340618e-07
339,5,1,0.00015813364252833278
339,5,5,0.49267288923974845
339,5,10,0.4023341194311701
339,5,15,2.292580379881771
339,5,20,1.201517533753166
339,10,0,3.7210441742249966e-09
339,10,1,0.0006107763075594371
339,10,5,2.992492193301058
339,10,10,0.5598597867201646
339,10,15,1.4417477571952155
339,10,20,1.0041617541888574
339,15,0,-1.0
339,15,1,8.036999636999404e-05
339,15,5,0.6648145633250915
339,15,10,1.1404373164998187
339,15,15,0.9100745586798722
339,15,20,1.6775035899734725
339,20,0,0.0
339,20,1,36.3705669824638
339,20,5,0.7098547950852312
339,20,10,1.5057048572980396
339,20,15,0.8584954469142086
339,20,20,1.1658713152647522
