seed,culture,gen,tol_time
539,mono,0,2.9764551029771003
539,mono,1,2.9764551029771003
539,mono,2,2.9764551029771003
539,mono,3,2.9764551029771003
539,mono,4,2.9764551029771003
539,mono,5,2.9764551029771003
539,mono,6,2.9764551029771003
539,mono,7,2.9764551029771003
539,mono,8,2.9764551029771003
539,mono,9,2.9764551029771003
539,mono,10,2.9764551029771003
539,mono,11,2.9845433740374894
539,mono,12,2.9917973714119883
539,mono,13,3.005387713159587
539,mono,14,3.0303745007219933
539,mono,15,3.0750458272060452
539,mono,16,3.150621084290306
539,mono,17,3.2672320967226414
539,mono,18,3.4236169014548135
539,mono,19,3.5974540863016773
