seed,met,rratio,fracratio
1,250,4.0,1.1130558660862626
1,250,2.0,1.3305403708973937
1,250,1.3333333333333333,0.9704907856601895
1,250,1.0,1.1781318090548811
1,250,0.8,0.6207021960289417
1,250,0.6666666666666666,1.2204862322596937
1,250,0.5714285714285714,1.7014426343344218
1,250,0.5,1.382836458386976
2,500,4.0,1.1204478990805413
2,500,2.0,1.5061697445894517
2,500,1.3333333333333333,1.0496177918443779
2,500,1.0,1.7124012696124258
2,500,0.8,1.244330798572093
2,500,0.6666666666666666,1.143804774770351
2,500,0.5714285714285714,1.1051475131430846
2,500,0.5,1.121370935252966
3,750,4.0,0.8294229121875092
3,750,2.0,1.2881189114441338
3,750,1.3333333333333333,1.1320642814873982
3,750,1.0,1.467027580499373
3,750,0.8,0.9346286005268756
3,750,0.6666666666666666,0.91130373485404
3,750,0.5714285714285714,1.3356959070743895
3,750,0.5,1.1488563049897231
4,1000,4.0,0.9451629319920025
4,1000,2.0,1.0347543565129869
4,1000,1.3333333333333333,0.9928809078564091
4,1000,1.0,1.003157916650082
4,1000,0.8,1.1557634181896448
4,1000,0.6666666666666666,1.35247305064773
4,1000,0.5714285714285714,0.8638785721866371
4,1000,0.5,0.9855893422084595
5,1250,4.0,1.3982245506374615
5,1250,2.0,1.3730782219845148
5,1250,1.3333333333333333,1.1584970200249627
5,1250,1.0,1.3986902164724364
5,1250,0.8,1.5295580246756897
5,1250,0.6666666666666666,0.9849365201905634
5,1250,0.5714285714285714,1.335143485701912
5,1250,0.5,1.0372456671315005
6,1500,4.0,1.0365435234714375
6,1500,2.0,0.8345879726869339
6,1500,1.3333333333333333,0.8502623178654499
6,1500,1.0,0.9893040390041806
6,1500,0.8,1.1747303649437544
6,1500,0.6666666666666666,1.2432886803194816
6,1500,0.5714285714285714,0.7763138310448889
6,1500,0.5,1.3076272784921696
7,1750,4.0,0.8428457918079408
7,1750,2.0,1.0359568619449564
7,1750,1.3333333333333333,1.385770662771493
7,1750,1.0,0.9839320596649481
7,1750,0.8,0.7189503607599219
7,1750,0.6666666666666666,0.9145713444937644
7,1750,0.5714285714285714,1.4553042914542802
7,1750,0.5,1.0947399019163098
8,2000,4.0,1.501023538498
8,2000,2.0,1.1539158190490617
8,2000,1.3333333333333333,1.0161862954552832
8,2000,1.0,1.0600454461230215
8,2000,0.8,1.0340213692586921
8,2000,0.6666666666666666,1.105453662902134
8,2000,0.5714285714285714,1.1050486616333657
8,2000,0.5,0.9261656806814045
