##culture:co#seed:339#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(15, 5, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
culture,rep,cycle,frac,duration
co,0,0,0.013439765627711587,5
co,0,1,0.013439895214680897,5
co,0,2,0.013439965829570053,5
co,0,3,0.013439994812710783,5
co,0,4,0.013440005634747669,5
co,0,5,0.013440010160036563,5
co,0,6,0.013440012703612468,5
co,0,7,0.013440014645363397,5
co,0,8,0.013440016389882787,5
co,0,9,0.013440018035669615,5
co,1,0,0.013439754995451072,5
co,1,1,0.013439885066505066,5
co,1,2,0.013439956048442583,5
co,1,3,0.013439984708601705,5
co,1,4,0.013439994532715369,5
co,1,5,0.013439997685944142,5
co,1,6,0.01343999867538543,5
co,1,7,0.013439998984760665,5
co,1,8,0.030361522770069233,5
co,1,9,0.057464970272761665,5
co,2,0,0.013439754995451072,5
co,2,1,0.013439885066505066,5
co,2,2,0.013439972946999416,5
co,2,3,0.01344000090629195,5
co,2,4,0.013440011932671801,5
co,2,5,0.013440017151386657,5
co,2,6,0.013440020499556192,5
co,2,7,0.013440023187237705,5
co,2,8,0.013440025537256654,5
co,2,9,0.013440027611444355,5
co,3,0,0.013439754995451072,5
co,3,1,0.013439885066505066,5
co,3,2,0.013439956048442583,5
co,3,3,0.013439984708601705,5
co,3,4,0.013439994532715369,5
co,3,5,0.013439997685944142,5
co,3,6,0.01343999867538543,5
co,3,7,0.013439998984760665,5
co,3,8,0.0134399990794439,5
co,3,9,0.013439999109204607,5
co,4,0,0.013439754995451072,5
co,4,1,0.013439885066505066,5
co,4,2,0.013439975866088348,5
co,4,3,0.013440004163330072,5
co,4,4,0.013440015872672961,5
co,4,5,0.01344002190898894,5
co,4,6,0.013440026067057454,5
co,4,7,0.01344002946204582,5
co,4,8,0.013440032359744229,5
co,4,9,0.013440034800193502,5
co,5,0,0.013439754995451072,5
co,5,1,0.013439885066505066,5
co,5,2,0.013439956048442583,5
co,5,3,0.013439984708601705,5
co,5,4,0.013439994532715369,5
co,5,5,0.03090574324723644,5
co,5,6,0.05928426264106438,5
co,5,7,0.08630775622623439,5
co,5,8,0.09759061594535325,5
co,5,9,0.10065097983097725,5
co,6,0,0.013439754995451072,5
co,6,1,0.013439885066505066,5
co,6,2,0.013439956048442583,5
co,6,3,0.013439984708601705,5
co,6,4,0.013439994532715369,5
co,6,5,0.013439997685944142,5
co,6,6,0.01343999867538543,5
co,6,7,0.013439998984760665,5
co,6,8,0.0134399990794439,5
co,6,9,0.013439999109204607,5
co,7,0,0.013439754995451072,5
co,7,1,0.028451310067590174,5
co,7,2,0.05118534647035101,5
co,7,3,0.07405105378435209,5
co,7,4,0.08479119650002145,5
co,7,5,0.08806733957593756,5
co,7,6,0.08892501256282491,5
co,7,7,0.08914024661404849,5
co,7,8,0.08919368134262601,5
co,7,9,0.08920691169732889,5
co,8,0,0.013439754995451072,5
co,8,1,0.013439885066505066,5
co,8,2,0.013439956048442583,5
co,8,3,0.013439984708601705,5
co,8,4,0.013439994532715369,5
co,8,5,0.013439997685944142,5
co,8,6,0.01343999867538543,5
co,8,7,0.013439998984760665,5
co,8,8,0.0134399990794439,5
co,8,9,0.013439999109204607,5
co,9,0,0.013439754995451072,5
co,9,1,0.013439885066505066,5
co,9,2,0.013439956048442583,5
co,9,3,0.013439984708601705,5
co,9,4,0.013439994532715369,5
co,9,5,0.013439997685944142,5
co,9,6,0.01343999867538543,5
co,9,7,0.013439998984760665,5
co,9,8,0.0134399990794439,5
co,9,9,0.013439999109204607,5
