culture,rep,phase0_length,frac
Monoculture,0,1,0.14054004841357878
Coculture,0,1,0.11303481829514292
Monoculture,1,1,0.10854204042047229
Coculture,1,1,0.10074222669899902
Monoculture,2,1,0.10040649890554605
Coculture,2,1,0.1256601471617281
Monoculture,3,1,0.10390521100036396
Coculture,3,1,0.11251976853207538
Monoculture,4,1,0.16827328306701497
Coculture,4,1,0.10719103237744204
Monoculture,5,1,0.12084209330755062
Coculture,5,1,0.0922477922656026
Monoculture,6,1,0.1192130921451866
Coculture,6,1,0.10654552783750512
Monoculture,7,1,0.13108211140100073
Coculture,7,1,0.10700860659152991
Monoculture,8,1,0.11413383510292346
Coculture,8,1,0.12493755437704628
Monoculture,9,1,0.1117655004007287
Coculture,9,1,0.09439384179348355
Monoculture,0,2,0.10938339796411418
Coculture,0,2,0.10534821176138297
Monoculture,1,2,0.0946009860341985
Coculture,1,2,0.08298291657912535
Monoculture,2,2,0.10589746372588114
Coculture,2,2,0.10684869661740098
Monoculture,3,2,0.11768186645871795
Coculture,3,2,0.09182483967689449
Monoculture,4,2,0.1077305407750009
Coculture,4,2,0.11744611587580778
Monoculture,5,2,0.11428664872426274
Coculture,5,2,0.12494441193511084
Monoculture,6,2,0.09705587980965638
Coculture,6,2,0.14199765695684893
Monoculture,7,2,0.12020499438030469
Coculture,7,2,0.11010043416445822
Monoculture,8,2,0.09568181185847703
Coculture,8,2,0.10442496739987787
Monoculture,9,2,0.10455196258875116
Coculture,9,2,0.11821592952792113
Monoculture,0,3,0.10776805993336633
Coculture,0,3,0.09515380203314204
Monoculture,1,3,0.09738694037449319
Coculture,1,3,0.09167671316736534
Monoculture,2,3,0.10416361471548186
Coculture,2,3,0.09772615173352822
Monoculture,3,3,0.10805222243351098
Coculture,3,3,0.11409384692592033
Monoculture,4,3,0.1070813221010844
Coculture,4,3,0.09542550323179334
Monoculture,5,3,0.10411630977604829
Coculture,5,3,0.113241453577142
Monoculture,6,3,0.08801173563106618
