culture,rep,phase0_length,frac
Coculture,7,9,0.2558675848440094
Monoculture,8,9,0.18102479824176682
Coculture,8,9,0.2989635990753135
Monoculture,9,9,0.20467987733661053
Coculture,9,9,0.20111909684670218
Monoculture,0,10,0.18188167789704493
Coculture,0,10,0.1146204449955072
Monoculture,1,10,0.25230854701270056
Coculture,1,10,0.08781860606819093
Monoculture,2,10,0.25844652193239565
Coculture,2,10,0.10821696966759496
Monoculture,3,10,0.2348959176750753
Coculture,3,10,0.227513763594499
Monoculture,4,10,0.1198065518762793
Coculture,4,10,0.11871578615420375
Monoculture,5,10,0.1532158762069555
Coculture,5,10,0.19977545880212297
Monoculture,6,10,0.1996300280105259
Coculture,6,10,0.20982732552379765
Monoculture,7,10,0.16324082711511598
Coculture,7,10,0.18445265827349458
Monoculture,8,10,0.24045705015930427
Coculture,8,10,0.13421126816044426
Monoculture,9,10,0.11497007274538332
Coculture,9,10,0.22228540731506943
Monoculture,0,11,0.10195940325668928
Coculture,0,11,0.13068208231229786
Monoculture,1,11,0.17230919052370075
Coculture,1,11,0.239592677270877
Monoculture,2,11,0.15359963942858185
Coculture,2,11,0.30390539868276567
Monoculture,3,11,0.19564674703886228
Coculture,3,11,0.22880223345925518
Monoculture,4,11,0.22782490489637316
Coculture,4,11,0.07730981115135548
Monoculture,5,11,0.041253512522614756
Coculture,5,11,0.1991813435404273
Monoculture,6,11,0.10299989004135819
Coculture,6,11,0.1356935699990296
Monoculture,7,11,0.08899825464347103
Coculture,7,11,0.15398646132130184
Monoculture,8,11,0.037767859756519584
Coculture,8,11,0.1467152468999769
Monoculture,9,11,0.09330032554512141
Coculture,9,11,0.20177234154842927
Monoculture,0,12,0.056311263973172786
Coculture,0,12,0.19082740232257772
Monoculture,1,12,0.1388887903488331
Coculture,1,12,0.031459902689790986
Monoculture,2,12,0.22191067913187004
Coculture,2,12,0.164485571086711
Monoculture,3,12,0.031038950001979974
Coculture,3,12,0.11567237541873239
Monoculture,4,12,0.041858817080420274
Coculture,4,12,0.09297754455153619
Monoculture,5,12,0.0469872646865465
Coculture,5,12,0.18789276064583693
Monoculture,6,12,0.20469903803808479
Coculture,6,12,0.2062719494546244
Monoculture,7,12,0.06230046203426201
Coculture,7,12,0.08185674321086743
Monoculture,8,12,0.26234536821894294
Coculture,8,12,0.22180589602286702
Monoculture,9,12,0.024418518878953487
Coculture,9,12,0.20895625280609792
Monoculture,0,13,0.015794042012272982
Coculture,0,13,0.23668038941120048
Monoculture,1,13,0.019983921481749805
Coculture,1,13,0.025117945010120355
Monoculture,2,13,0.02116484003977658
Coculture,2,13,0.04580541768867343
Monoculture,3,13,0.017250978449661968
Coculture,3,13,0.02973581097720271
Monoculture,4,13,0.06734049817219744
Coculture,4,13,0.06487762418353588
Monoculture,5,13,0.1655260259368068
Coculture,5,13,0.029143262985740062
Monoculture,6,13,0.016533664414478705
Coculture,6,13,0.023645909257542428
Monoculture,7,13,0.018594487306462945
Coculture,7,13,0.05394133553032441
Monoculture,8,13,0.018244543439627028
Coculture,8,13,0.01787573946795772
Monoculture,9,13,0.02072132334171662
Coculture,9,13,0.01709706206328287
Monoculture,0,14,0.015687956969479982
Coculture,0,14,0.015145557454358574
Monoculture,1,14,0.016188340623751067
Coculture,1,14,0.015411946118564283
Monoculture,2,14,0.027175474022603275
Coculture,2,14,0.01592237737028861
Monoculture,3,14,0.016273704856177452
Coculture,3,14,0.016223362012864083
Monoculture,4,14,0.01659828348930959
Coculture,4,14,0.13141422025796037
Monoculture,5,14,0.014975890936078613
Coculture,5,14,0.01732397449630704
Monoculture,6,14,0.015621354630359964
Coculture,6,14,0.01664408737714219
Monoculture,7,14,0.2618853878816824
Coculture,7,14,0.19295631862845816
Monoculture,8,14,0.01572476233789666
Coculture,8,14,0.02268201811457258
Monoculture,9,14,0.015286877042009888
Coculture,9,14,0.01835670884527687
Monoculture,0,15,0.015294919079938782
Coculture,0,15,0.017926348806528235
Monoculture,1,15,0.016160461271604653
Coculture,1,15,0.015183494058618394
Monoculture,2,15,0.015237114731364769
Coculture,2,15,0.018162716524291227
Monoculture,3,15,0.014852338961971828
Coculture,3,15,0.058248758878690014
Monoculture,4,15,0.014937429461229201
Coculture,4,15,0.01497412370700302
Monoculture,5,15,0.015474747189499607
Coculture,5,15,0.016000112385669438
Monoculture,6,15,0.015177681196148141
Coculture,6,15,0.015650175290736257
Monoculture,7,15,0.015059771346780345
Coculture,7,15,0.015583967410410713
Monoculture,8,15,0.015184390504918871
Coculture,8,15,0.015213826510912814
Monoculture,9,15,0.015382346194940867
Coculture,9,15,0.014918872637040222
Monoculture,0,16,0.01461656843640892
Coculture,0,16,0.015404990676600729
Monoculture,1,16,0.05593043354897657
Coculture,1,16,0.015439819012979633
Monoculture,2,16,0.015148873923850635
Coculture,2,16,0.0146293947609636
Monoculture,3,16,0.014872832381914464
Coculture,3,16,0.018634088765715436
Monoculture,4,16,0.014715240891249544
Coculture,4,16,0.014688805985327959
Monoculture,5,16,0.014884368136047472
Coculture,5,16,0.015376036892160536
Monoculture,6,16,0.014821324818981851
