culture,met,rep,frac_slope
mono,1500,0,0.12186368090487046
mono,1500,1,0.12217794705108431
mono,1500,2,0.11400524590685802
mono,1500,3,0.12443631972609653
mono,1500,4,0.13352150704755839
mono,1500,5,0.11054253560010463
mono,1500,6,0.11449200305332986
mono,1500,7,0.1199036056092655
mono,1500,8,0.1154232054507766
mono,1500,9,0.12448835028395225
mono,1600,0,0.11144237757989744
mono,1600,1,0.12414205531777511
mono,1600,2,0.12265854429084372
mono,1600,3,0.12076545951289175
mono,1600,4,0.11955652456532181
mono,1600,5,0.1189764357111497
mono,1600,6,0.12467021262348787
mono,1600,7,0.12130430768745666
mono,1600,8,0.11812923444468651
mono,1600,9,0.1214395577209035
mono,1700,0,0.1171682971775935
mono,1700,1,0.11520725705858659
mono,1700,2,0.11484365901488683
mono,1700,3,0.12419449083249011
mono,1700,4,0.10847411126374228
mono,1700,5,0.12218211097987394
mono,1700,6,0.12312727900879838
mono,1700,7,0.11014425014839571
mono,1700,8,0.11851549274843691
mono,1700,9,0.11009532998815554
mono,1800,0,0.11895654754703164
mono,1800,1,0.11182027728269268
mono,1800,2,0.12791190943951228
mono,1800,3,0.13705394936410167
mono,1800,4,0.11393688593012058
mono,1800,5,0.11137259584843415
mono,1800,6,0.11285358140589945
mono,1800,7,0.1176699929960682
mono,1800,8,0.12236347715482132
mono,1800,9,0.11484590445526718
mono,1900,0,0.1281311635760203
mono,1900,1,0.1221843737106035
mono,1900,2,0.13610914263038024
mono,1900,3,0.11893955799078629
mono,1900,4,0.12341967821028535
mono,1900,5,0.11399947170139466
mono,1900,6,0.10772144017845667
mono,1900,7,0.11744522013026377
mono,1900,8,0.11208928933020955
mono,1900,9,0.11337184629831276
