seed,culture,met,rep,frac_slope
2,Monoculture,1,0,0.00012497014823015275
2,Monoculture,1,1,-1.6564446783914638e-12
2,Monoculture,1,2,0.04251604151316414
2,Monoculture,1,3,0.09015368317362861
2,Monoculture,1,4,0.0
2,Monoculture,1,5,0.0
2,Monoculture,1,6,0.07267066176657487
2,Monoculture,1,7,0.0
2,Monoculture,1,8,0.11118539299404305
2,Monoculture,1,9,0.0
2,Coculture,1,0,0.11696395837512123
2,Monoculture,10,0,0.10347786412976338
2,Monoculture,10,1,0.09858691019343024
2,Monoculture,10,2,0.10075406614323436
2,Monoculture,10,3,0.055226046592978466
2,Monoculture,10,4,0.11039843621068708
2,Monoculture,10,5,0.08964059575742729
2,Monoculture,10,6,0.09187867774714481
2,Monoculture,10,7,0.07566154395811887
2,Monoculture,10,8,0.0647416860951464
2,Monoculture,10,9,0.024996553786568065
2,Coculture,10,0,0.11696395837512123
2,Monoculture,100,0,0.12864199580910737
2,Monoculture,100,1,0.12001552614096256
2,Monoculture,100,2,0.12361979333849034
2,Monoculture,100,3,0.11564055317158828
2,Monoculture,100,4,0.12126284879597835
2,Monoculture,100,5,0.11890957949516283
2,Monoculture,100,6,0.11991005746428253
2,Monoculture,100,7,0.09750792407610248
2,Monoculture,100,8,0.12223156118620405
2,Monoculture,100,9,0.11763602236416906
2,Coculture,100,0,0.11696395837512123
2,Monoculture,250,0,0.1269473439685194
2,Monoculture,250,1,0.11690036014788041
2,Monoculture,250,2,0.12538947042682264
2,Monoculture,250,3,0.11457638669509232
2,Monoculture,250,4,0.12580142681804907
2,Monoculture,250,5,0.1190604009569477
2,Monoculture,250,6,0.12837833204763738
2,Monoculture,250,7,0.12081753469908411
2,Monoculture,250,8,0.12047088059039422
2,Monoculture,250,9,0.12190504153651611
2,Coculture,250,0,0.11696395837512123
2,Monoculture,500,0,0.11631401767908334
2,Monoculture,500,1,0.10729695004921674
2,Monoculture,500,2,0.12788080905859403
2,Monoculture,500,3,0.11582544241103435
2,Monoculture,500,4,0.11528736900897144
2,Monoculture,500,5,0.12959071018254908
2,Monoculture,500,6,0.1272453803998893
2,Monoculture,500,7,0.11380454798932546
2,Monoculture,500,8,0.11133893371032419
2,Monoculture,500,9,0.11863378090932479
2,Coculture,500,0,0.11696395837512123
2,Monoculture,750,0,0.10801373827296472
2,Monoculture,750,1,0.09936144784263586
2,Monoculture,750,2,0.11880625957184066
2,Monoculture,750,3,0.11295860335219376
2,Monoculture,750,4,0.11651651857193251
2,Monoculture,750,5,0.11870789150095756
2,Monoculture,750,6,0.11545690637247073
2,Monoculture,750,7,0.12011852915308494
2,Monoculture,750,8,0.11560485176819334
2,Monoculture,750,9,0.11500780527987982
2,Coculture,750,0,0.11696395837512123
2,Monoculture,1000,0,0.1264791685744706
2,Monoculture,1000,1,0.11802985196852775
2,Monoculture,1000,2,0.12285470996183308
2,Monoculture,1000,3,0.12225063253152198
2,Monoculture,1000,4,0.12708655805704971
2,Monoculture,1000,5,0.10931690308202066
2,Monoculture,1000,6,0.11094798620865354
2,Monoculture,1000,7,0.11308000108283421
2,Monoculture,1000,8,0.1146322191830785
2,Monoculture,1000,9,0.12275646781921846
2,Coculture,1000,0,0.11696395837512123
2,Monoculture,1250,0,0.12342022106899886
2,Monoculture,1250,1,0.10545230001060175
2,Monoculture,1250,2,0.12130368861013381
2,Monoculture,1250,3,0.12155188577801113
2,Monoculture,1250,4,0.11511902919015016
2,Monoculture,1250,5,0.11487090622531028
2,Monoculture,1250,6,0.12161972002402309
2,Monoculture,1250,7,0.12255907724325424
2,Monoculture,1250,8,0.1283306774201663
2,Monoculture,1250,9,0.11511973990264995
2,Coculture,1250,0,0.11696395837512123
2,Monoculture,1500,0,0.11525219076426446
2,Monoculture,1500,1,0.11734952726929368
2,Monoculture,1500,2,0.11906979778557983
2,Monoculture,1500,3,0.10156821503556121
2,Monoculture,1500,4,0.12920789586015952
2,Monoculture,1500,5,0.11893843637757243
2,Monoculture,1500,6,0.11988731301942183
2,Monoculture,1500,7,0.11847635721749697
2,Monoculture,1500,8,0.1299909116819464
2,Monoculture,1500,9,0.10931579915949818
2,Coculture,1500,0,0.11696395837512123
2,Monoculture,1750,0,0.11821938951611186
2,Monoculture,1750,1,0.12412565226793475
2,Monoculture,1750,2,0.11551992417960627
2,Monoculture,1750,3,0.1133145672472081
2,Monoculture,1750,4,0.12380068977161873
2,Monoculture,1750,5,0.11192776246105052
2,Monoculture,1750,6,0.12786682955022002
2,Monoculture,1750,7,0.12385517136638981
2,Monoculture,1750,8,0.12274205095741787
2,Monoculture,1750,9,0.1157929913740088
2,Coculture,1750,0,0.11696395837512123
2,Monoculture,2000,0,0.10756621568191699
2,Monoculture,2000,1,0.12080623246567676
2,Monoculture,2000,2,0.12768074259158893
2,Monoculture,2000,3,0.10915156900132898
2,Monoculture,2000,4,0.11797727621085882
2,Monoculture,2000,5,0.11952067204493004
2,Monoculture,2000,6,0.1227448800786537
2,Monoculture,2000,7,0.11229087404299781
2,Monoculture,2000,8,0.12417335521964032
2,Monoculture,2000,9,0.1252601315990361
2,Coculture,2000,0,0.11696395837512123
