seed,culture,met,rep,frac_slope
154,Monoculture,16,1,0.10326470082626836
154,Monoculture,16,2,0.11694485039489119
154,Monoculture,16,3,0.010774706724765343
154,Monoculture,16,4,0.10540488262757372
154,Monoculture,16,5,0.1126374170664397
154,Monoculture,16,6,0.09613691118888372
154,Monoculture,16,7,0.1290437082022294
154,Monoculture,16,8,0.09502716653238896
154,Monoculture,16,9,0.09241610193844282
154,Coculture,16,0,0.11644100918089109
154,Monoculture,17,0,0.10665631560223177
154,Monoculture,17,1,0.10185635582827023
154,Monoculture,17,2,0.10807548828050932
154,Monoculture,17,3,0.11646996196649012
154,Monoculture,17,4,0.09068485749207629
154,Monoculture,17,5,0.13723202462832107
154,Monoculture,17,6,0.12936419581742803
154,Monoculture,17,7,0.10370604709053906
154,Monoculture,17,8,0.11103243328889503
154,Monoculture,17,9,0.12472990088739118
154,Coculture,17,0,0.11644100918089109
154,Monoculture,18,0,0.09300204309925497
154,Monoculture,18,1,0.10808261419767372
154,Monoculture,18,2,0.12597783757017145
154,Monoculture,18,3,0.1345715496756575
154,Monoculture,18,4,0.1235467472155615
154,Monoculture,18,5,0.10534917999392744
154,Monoculture,18,6,0.10282144094031306
154,Monoculture,18,7,0.10933767340091577
154,Monoculture,18,8,0.10733098395384345
154,Monoculture,18,9,0.10116955438348486
154,Coculture,18,0,0.11644100918089109
154,Monoculture,19,0,0.03240621603860616
154,Monoculture,19,1,0.09810434529292912
154,Monoculture,19,2,0.12806763044173372
154,Monoculture,19,3,0.12376523473763235
154,Monoculture,19,4,0.11575208689562196
154,Monoculture,19,5,0.10265790436261653
154,Monoculture,19,6,0.10384010729087895
154,Monoculture,19,7,0.08717146266111087
154,Monoculture,19,8,0.1324787135052077
154,Monoculture,19,9,0.08278602434905413
154,Coculture,19,0,0.11644100918089109
154,Monoculture,20,0,0.09879228611753653
154,Monoculture,20,1,0.07333667667819876
154,Monoculture,20,2,0.11709483751037734
154,Monoculture,20,3,0.08955239024310936
154,Monoculture,20,4,0.12110402086838423
154,Monoculture,20,5,0.10174043874087826
154,Monoculture,20,6,0.1183004792214696
154,Monoculture,20,7,0.1256589465089023
154,Monoculture,20,8,0.12923958280587095
154,Monoculture,20,9,0.11917020045210472
154,Coculture,20,0,0.11644100918089109
154,Monoculture,21,0,0.102102980612059
154,Monoculture,21,1,0.11083064589867002
154,Monoculture,21,2,0.12056837746994137
154,Monoculture,21,3,0.11185381309492919
154,Monoculture,21,4,0.12351416807270842
154,Monoculture,21,5,0.09900787538494975
