seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
109,co,0,0,0,Escherichia coli,E0c0,5.0,0.0,5.0,1.0,5
109,co,0,0,0,Salmonella enterica,S0c0,5.0,0.0,5.0,1.0,5
109,co,0,0,1,Escherichia coli,E0c0,0.03368961329846606,0.07401308530230857,0.10770269860077464,1.0,5
109,co,0,0,1,Salmonella enterica,S0c0,0.03368961329846606,2.5330683283576207,2.566757941656087,1.0,5
109,co,0,0,2,Escherichia coli,E0c0,4.949679398073814e-06,2780.1072781445205,2780.1072830942,1.0,5
109,co,0,0,2,Salmonella enterica,S0c0,4.949679398073814e-06,1406.466621852172,1406.4666268018514,1.0,5
109,co,0,1,1,Escherichia coli,E0c0,9.36610774982122,9.324562692377272,18.690670442198492,1.0,5
109,co,0,1,1,Salmonella enterica,S0c0,4.738349772698274,25.069847512682305,29.80819728538058,1.0,5
109,co,0,1,2,Escherichia coli,E0c0,4.99785004021791e-06,2798.690215833405,2798.690220831255,1.0,5
109,co,0,1,2,Salmonella enterica,S0c0,4.995100514032166e-06,1433.7080330249662,1433.7080380200666,1.0,5
109,co,0,2,1,Escherichia coli,E0c0,9.428713321019451,9.38682546895344,18.81553878997289,1.0,5
109,co,0,2,1,Salmonella enterica,S0c0,4.830124698432616,25.989758750333184,30.8198834487658,1.0,5
109,co,0,2,2,Escherichia coli,E0c0,4.996698311118142e-06,2798.815082527359,2798.8150875240576,1.0,5
109,co,0,2,2,Salmonella enterica,S0c0,4.995142300636951e-06,1434.7197176091129,1434.7197226042551,1.0,5
109,co,0,3,1,Escherichia coli,E0c0,9.429133937053818,9.387240803446295,18.816374740500112,1.0,5
109,co,0,3,1,Salmonella enterica,S0c0,4.833532086643156,26.042226976055133,30.87575906269829,1.0,5
109,co,0,3,2,Escherichia coli,E0c0,4.999805275203119e-06,2798.8159191703135,2798.8159241701187,1.0,5
109,co,0,3,2,Salmonella enterica,S0c0,4.998379141331619e-06,1434.775592878176,1434.7755978765551,1.0,5
109,co,0,4,1,Escherichia coli,E0c0,9.429137007664194,9.38724392707949,18.816380934743684,1.0,5
109,co,0,4,1,Salmonella enterica,S0c0,4.833720877093687,26.04529168113566,30.879012558229345,1.0,5
109,co,0,4,2,Escherichia coli,E0c0,4.9948563416736065e-06,2798.8159244916105,2798.8159294864668,1.0,5
109,co,0,4,2,Salmonella enterica,S0c0,4.9999251261659635e-06,1434.778846878638,1434.778851878563,1.0,5
109,co,0,5,1,Escherichia coli,E0c0,9.4291364323989,9.38724351379615,18.81637994619505,1.0,5
109,co,0,5,1,Salmonella enterica,S0c0,4.833732665896118,26.045471751264667,30.879204417160786,1.0,5
109,co,0,5,2,Escherichia coli,E0c0,4.999697764372128e-06,2798.8159241649346,2798.8159291646325,1.0,5
109,co,0,5,2,Salmonella enterica,S0c0,4.981837189737374e-06,1402.8155367510928,1402.8155417329301,1.0,5
109,co,0,5,2,Salmonella enterica,S1c5,9.08754796171881e-06,31.963600142109964,31.963609229657926,1.8179955462934982,5
109,co,0,6,1,Escherichia coli,E0c0,9.429136279867146,9.38725752004215,18.816393799909296,1.0,5
109,co,0,6,1,Salmonella enterica,S0c0,4.726047763180042,25.335793238969384,30.061841002149425,1.0,5
109,co,0,6,1,Salmonella enterica,S1c5,1.0213945824640585,1.1786295636080046,2.200024146072063,1.8179955462934982,5
109,co,0,6,2,Escherichia coli,E0c0,4.9819456918187644e-06,2798.815938793509,2798.8159437754543,1.0,5
109,co,0,6,2,Salmonella enterica,S0c0,4.997950971828977e-06,1350.2401058876844,1350.2401108856354,1.0,5
109,co,0,6,2,Salmonella enterica,S1c5,9.087285220485564e-06,85.92168719011035,85.92169627739557,1.8179955462934982,5
109,co,0,7,1,Escherichia coli,E0c0,9.429136169298227,9.387277535300662,18.816413704598887,1.0,5
109,co,0,7,1,Salmonella enterica,S0c0,4.548922798943794,24.24679492018197,28.79571771912576,1.0,5
109,co,0,7,1,Salmonella enterica,S1c5,2.7456224194774315,3.1531928462336696,5.898815265711101,1.8179955462934982,5
109,co,0,7,2,Escherichia coli,E0c0,4.98695514880231e-06,2798.81595947337,2798.815964460325,1.0,5
109,co,0,7,2,Salmonella enterica,S0c0,4.998487465854826e-06,1220.898937203176,1220.8989422016634,1.0,5
109,co,0,7,2,Salmonella enterica,S1c5,9.089507433262412e-06,217.69551397660848,217.69552306611592,1.8179955462934982,5
109,co,0,8,1,Escherichia coli,E0c0,9.429135978006567,9.387329831617803,18.81646580962437,1.0,5
109,co,0,8,1,Salmonella enterica,S0c0,4.11317645722659,21.681470401983393,25.794646859209983,1.0,5
109,co,0,8,1,Salmonella enterica,S1c5,6.9564440731874875,7.916086981259239,14.872531054446727,1.8179955462934982,5
109,co,0,8,2,Escherichia coli,E0c0,4.9964356230341705e-06,2798.8160100170658,2798.8160150135013,1.0,5
109,co,0,8,2,Salmonella enterica,S0c0,4.99753605876206e-06,960.9697211873216,960.9697261848577,1.0,5
109,co,0,8,2,Salmonella enterica,S1c5,9.081069073812659e-06,483.59736581033377,483.59737489140286,1.8179955462934982,5
109,co,0,9,1,Escherichia coli,E0c0,9.429136392257906,9.387434110287016,18.81657050254492,1.0,5
109,co,0,9,1,Salmonella enterica,S0c0,3.2374807308143514,16.845421665083368,20.08290239589772,1.0,5
109,co,0,9,1,Salmonella enterica,S1c5,15.453317837046141,17.402372191195106,32.85569002824125,1.8179955462934982,5
109,co,0,9,2,Escherichia coli,E0c0,4.99819338355109e-06,2798.816115918632,2798.816120916825,1.0,5
