culture,dur,rep,frac_slope
Monoculture,3,3,0.12288261966054066
Coculture,3,3,0.11030907815439368
Monoculture,3,4,0.11439379469502274
Coculture,3,4,0.1256470325053148
Monoculture,3,5,0.12714247610153298
Coculture,3,5,0.12428043979475546
Monoculture,3,6,0.1368692440690536
Coculture,3,6,0.12463223824061037
Monoculture,3,7,0.13162745056142686
Coculture,3,7,0.13316427595535205
Monoculture,3,8,0.10945441474855659
Coculture,3,8,0.11615273875480904
Monoculture,3,9,0.11184836640901875
Coculture,3,9,0.12018214862139293
Monoculture,4,0,0.11682962691932126
Coculture,4,0,0.12069414023392126
Monoculture,4,1,0.1316050447131164
Coculture,4,1,0.11868914206253449
Monoculture,4,2,0.12751480736292287
Coculture,4,2,0.12356453374120321
Monoculture,4,3,0.11980730361517568
Coculture,4,3,0.12200023326496795
Monoculture,4,4,0.11802673596802152
Coculture,4,4,0.12214462577730843
Monoculture,4,5,0.1192429669070942
Coculture,4,5,0.12513029233351192
Monoculture,4,6,0.12146246647171402
Coculture,4,6,0.12061953801191701
Monoculture,4,7,0.1250530933944396
Coculture,4,7,0.12056055058293291
Monoculture,4,8,0.11030775742970313
Coculture,4,8,0.12200097982242795
Monoculture,4,9,0.13524994436685595
Coculture,4,9,0.12959299052137924
Monoculture,5,0,0.1252465374177828
Coculture,5,0,0.1256039081817636
Monoculture,5,1,0.12729056680873044
Coculture,5,1,0.1097499307329951
Monoculture,5,2,0.14579789303798824
Coculture,5,2,0.12933724859547668
Monoculture,5,3,0.13349535503390064
Coculture,5,3,0.12595812165199535
Monoculture,5,4,0.12691151755119792
Coculture,5,4,0.1398031070554541
Monoculture,5,5,0.14642518157723533
Coculture,5,5,0.1318972888558995
Monoculture,5,6,0.13549039058340462
Coculture,5,6,0.12327825455835412
Monoculture,5,7,0.13731733813622019
Coculture,5,7,0.13482734824406864
Monoculture,5,8,0.13320556439035264
Coculture,5,8,0.1094711753510654
Monoculture,5,9,0.13421419346598756
Coculture,5,9,0.13048511918354594
Monoculture,6,0,0.1545431103637962
Coculture,6,0,0.1348360114087049
Monoculture,6,1,0.13985093760467826
Coculture,6,1,0.1362494370702847
Monoculture,6,2,0.1388522362033205
Coculture,6,2,0.13941666566543415
Monoculture,6,3,0.13041943295207187
Coculture,6,3,0.1527621487470459
Monoculture,6,4,0.14164534763232897
Coculture,6,4,0.1313023489104711
Monoculture,6,5,0.14106431355375326
Coculture,6,5,0.12289951167139505
Monoculture,6,6,0.11582553087714467
Coculture,6,6,0.14319963170401095
Monoculture,6,7,0.13030376863861656
Coculture,6,7,0.14382401420798774
Monoculture,6,8,0.13775537479276975
Coculture,6,8,0.13147817710259077
Monoculture,6,9,0.13252176775061567
Coculture,6,9,0.13410144579627234
Monoculture,7,0,0.1514472376111959
Coculture,7,0,0.13107670507774186
Monoculture,7,1,0.1357566713947221
Coculture,7,1,0.14172905035812275
Monoculture,7,2,0.14772309141599135
Coculture,7,2,0.14174409956492928
Monoculture,7,3,0.13299578428218123
Coculture,7,3,0.13174888843143817
Monoculture,7,4,0.15994207751243522
Coculture,7,4,0.1322336064806956
Monoculture,7,5,0.14226201126107546
Coculture,7,5,0.13642920685275534
Monoculture,7,6,0.13535181593973405
Coculture,7,6,0.15162728552917187
Monoculture,7,7,0.14019020918705885
Coculture,7,7,0.13710270030613583
Monoculture,7,8,0.12887162060540996
Coculture,7,8,0.1576664639077834
Monoculture,7,9,0.14357508390721457
Coculture,7,9,0.13368851553745634
Monoculture,8,0,0.14709134170625457
Coculture,8,0,0.1477155140115112
Monoculture,8,1,0.15010779698418267
Coculture,8,1,0.14521989539652663
Monoculture,8,2,0.1514705323304533
Coculture,8,2,0.15630427644486364
Monoculture,8,3,0.1435969054651921
Coculture,8,3,0.14925953435307956
Monoculture,8,4,0.15210629255361574
Coculture,8,4,0.1267566684152312
Monoculture,8,5,0.14814315211438675
Coculture,8,5,0.14355794939974525
Monoculture,8,6,0.1572462567203722
Coculture,8,6,0.14905805073186842
Monoculture,8,7,0.1532460460914323
Coculture,8,7,0.14120135414699037
Monoculture,8,8,0.149881376552631
Coculture,8,8,0.14752251284363038
Monoculture,8,9,0.14800031892856455
Coculture,8,9,0.1472117602598438
Monoculture,9,0,0.1497262092871783
Coculture,9,0,0.17325253299801896
Monoculture,9,1,0.14367249490360387
Coculture,9,1,0.17028555748342594
Monoculture,9,2,0.16264592744137402
Coculture,9,2,0.1513691730230126
Monoculture,9,3,0.14290787953634718
Coculture,9,3,0.1711926976084692
Monoculture,9,4,0.15776905038856678
Coculture,9,4,0.15369304909784665
Monoculture,9,5,0.1718966422262511
Coculture,9,5,0.15684524386142706
Monoculture,9,6,0.14818099875203686
Coculture,9,6,0.16060619696565834
Monoculture,9,7,0.1684828750650527
Coculture,9,7,0.15795351796126342
Monoculture,9,8,0.15188624043622503
Coculture,9,8,0.14276281481254904
Monoculture,9,9,0.15322049515034494
Coculture,9,9,0.16562851850181096
Monoculture,10,0,0.1462593608977958
Coculture,10,0,0.17249414355523762
Monoculture,10,1,0.17297646002037764
Coculture,10,1,0.16034806080088998
Monoculture,10,2,0.16239341055880613
Coculture,10,2,0.16810678196998974
Monoculture,10,3,0.16447600534057155
Coculture,10,3,0.1728693628641433
Monoculture,10,4,0.1583040667880965
Coculture,10,4,0.1545199591546875
Monoculture,10,5,0.14510710411470124
Coculture,10,5,0.1602313629908383
Monoculture,10,6,0.1464050528522601
Coculture,10,6,0.16705678074444608
Monoculture,10,7,0.17418755407478692
Coculture,10,7,0.16721027776138314
Monoculture,10,8,0.16841115051497882
Coculture,10,8,0.17226833379643652
Monoculture,10,9,0.1636521457497549
Coculture,10,9,0.17736137890597695
Monoculture,11,0,0.15729951381824658
Coculture,11,0,0.1611908351580308
Monoculture,11,1,0.13709644962831638
Coculture,11,1,0.1463768936726459
Monoculture,11,2,0.16215224987625074
Coculture,11,2,0.15692490647850738
Monoculture,11,3,0.15939007490315446
Coculture,11,3,0.14575538131662322
Monoculture,11,4,0.12718786375189645
Coculture,11,4,0.17181385688503265
Monoculture,11,5,0.16216825979947105
Coculture,11,5,0.17305079414580396
Monoculture,11,6,0.1548630095118164
Coculture,11,6,0.1346987750779971
Monoculture,11,7,0.15818100991597808
Coculture,11,7,0.1644623566998151
Monoculture,11,8,0.14405786338923532
Coculture,11,8,0.16360182259884032
Monoculture,11,9,0.15546509504416425
Coculture,11,9,0.13445122444512447
Monoculture,12,0,0.16474306532612087
Coculture,12,0,0.15368307105114623
Monoculture,12,1,0.12544505333746403
Coculture,12,1,0.14301265246812628
Monoculture,12,2,0.1427990728560351
Coculture,12,2,0.12173928248744244
Monoculture,12,3,0.08419266224163209
Coculture,12,3,0.10956648766183162
Monoculture,12,4,0.14104718240803413
Coculture,12,4,0.11157163912298981
Monoculture,12,5,0.11053213921041376
Coculture,12,5,0.14572494811431339
Monoculture,12,6,0.1932174886267156
Coculture,12,6,0.09440067640124723
Monoculture,12,7,0.0341321019103169
Coculture,12,7,0.16001270803348436
Monoculture,12,8,0.07792193024254743
Coculture,12,8,0.17945700683450655
Monoculture,12,9,0.15350951078845915
Coculture,12,9,0.16683197991527646
Monoculture,13,0,0.16145076712983822
Coculture,13,0,0.04817720658990343
Monoculture,13,1,0.02368769959237858
Coculture,13,1,0.18158249129369156
Monoculture,13,2,0.10940494575446545
Coculture,13,2,0.12538686700221227
Monoculture,13,3,0.02310609689732956
Coculture,13,3,0.08308292498204099
Monoculture,13,4,0.06424993408629372
Coculture,13,4,0.05864974500101151
Monoculture,13,5,0.17967268592698543
Coculture,13,5,0.15736418742646835
Monoculture,13,6,0.16978941988340673
Coculture,13,6,0.13415904480542948
Monoculture,13,7,0.14781607462620008
Coculture,13,7,0.02363859677149497
Monoculture,13,8,0.164700064160607
Coculture,13,8,0.1750187452128334
Monoculture,13,9,0.04958041047616756
Coculture,13,9,0.15259256247391767
Monoculture,14,0,0.016655615909804876
Coculture,14,0,0.016172914271970512
Monoculture,14,1,0.02392156915884606
Coculture,14,1,0.17964961283338876
Monoculture,14,2,0.055875001988041545
Coculture,14,2,0.02077740084523015
Monoculture,14,3,0.16801909694021974
Coculture,14,3,0.021394221484138803
Monoculture,14,4,0.023295986829033402
Coculture,14,4,0.05156040739571273
Monoculture,14,5,0.01606133456079731
Coculture,14,5,0.09951198634739745
Monoculture,14,6,0.06173919227460846
