##culture:co#seed:2#rep:10#mu:(0.0005, 0.0005)#cycles:10#init_R:(1, 1000, 0)#init_n:(5, 5)#init_lag:(1, 1)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
2,co,0,0,0.013440082287643011,5
2,co,0,1,0.03249599230765705,5
2,co,0,2,0.052933225855043474,5
2,co,0,3,0.06700318510143881,5
2,co,0,4,0.0769855575858975,5
2,co,0,5,0.07911056476143247,5
2,co,0,6,0.08861271243267568,5
2,co,0,7,0.10730575939717825,5
2,co,0,8,0.11812640954391361,5
2,co,0,9,0.13634354834318846,5
2,co,1,0,0.013440082287643011,5
2,co,1,1,0.025647985605909206,5
2,co,1,2,0.03623626833600582,5
2,co,1,3,0.07175030651121558,5
2,co,1,4,0.09308858944382276,5
2,co,1,5,0.10694947722605248,5
2,co,1,6,0.11732476718995064,5
2,co,1,7,0.12300305329753224,5
2,co,1,8,0.13369230646681146,5
2,co,1,9,0.13838195986295446,5
2,co,2,0,0.01344008236653233,5
2,co,2,1,0.013440077278123502,5
2,co,2,2,0.03459464650058826,5
2,co,2,3,0.058291837383808436,5
2,co,2,4,0.07091928636727352,5
2,co,2,5,0.07490850923601788,5
2,co,2,6,0.08415046579271424,5
2,co,2,7,0.09052069364146002,5
2,co,2,8,0.09271283077229789,5
2,co,2,9,0.10771835058472405,5
2,co,3,0,0.013440082287643011,5
2,co,3,1,0.013440077114556137,5
2,co,3,2,0.04687276688782658,5
2,co,3,3,0.09084695311045474,5
2,co,3,4,0.10753002389194562,5
2,co,3,5,0.11120221467144968,5
2,co,3,6,0.11197243087894854,5
2,co,3,7,0.13190922708306915,5
2,co,3,8,0.14285944183253443,5
2,co,3,9,0.14840141077236646,5
2,co,4,0,0.024384051369742886,5
2,co,4,1,0.03341446020634807,5
2,co,4,2,0.040152967286005044,5
2,co,4,3,0.08622831005819258,5
2,co,4,4,0.12559908279740428,5
2,co,4,5,0.1836163893564256,5
2,co,4,6,0.23687241123902145,5
2,co,4,7,0.2626421859969882,5
2,co,4,8,0.2816931985069132,5
2,co,4,9,0.2984896425675946,5
2,co,5,0,0.013440082287643011,5
2,co,5,1,0.014255626965441782,5
2,co,5,2,0.027169857648239773,5
2,co,5,3,0.03853758563531677,5
2,co,5,4,0.0465951920701235,5
2,co,5,5,0.05051988608435455,5
2,co,5,6,0.05202685760896673,5
2,co,5,7,0.052553258848001404,5
2,co,5,8,0.07186176442435599,5
2,co,5,9,0.0821333025283844,5
2,co,6,0,0.02859004573964041,5
2,co,6,1,0.05158466645167556,5
2,co,6,2,0.08089086985586123,5
2,co,6,3,0.10614776060829988,5
2,co,6,4,0.11552843001977296,5
2,co,6,5,0.1555670634581949,5
2,co,6,6,0.16734257216329515,5
2,co,6,7,0.17840900542069565,5
2,co,6,8,0.18530049597326106,5
2,co,6,9,0.19164297228923385,5
2,co,7,0,0.013440082287643011,5
2,co,7,1,0.03747485713285534,5
2,co,7,2,0.09297636343749292,5
2,co,7,3,0.11518249277383293,5
2,co,7,4,0.12378160391837804,5
2,co,7,5,0.1298360098145176,5
2,co,7,6,0.12985526291543426,5
2,co,7,7,0.15688703508310092,5
2,co,7,8,0.1757815770563,5
2,co,7,9,0.18342243922233942,5
2,co,8,0,0.013440082287643011,5
2,co,8,1,0.013440077124814044,5
2,co,8,2,0.013440076714485927,5
2,co,8,3,0.03917108284744707,5
2,co,8,4,0.07022732729726953,5
2,co,8,5,0.07902862879471999,5
2,co,8,6,0.10340157720670703,5
2,co,8,7,0.11465089804015155,5
2,co,8,8,0.16347316017270097,5
2,co,8,9,0.20767503122314204,5
2,co,9,0,0.0480357450126994,5
2,co,9,1,0.09481905775763617,5
2,co,9,2,0.1269604698418397,5
2,co,9,3,0.13265240739704126,5
2,co,9,4,0.16693542046745333,5
2,co,9,5,0.21030461271983017,5
2,co,9,6,0.22692166085512366,5
2,co,9,7,0.23534610753152385,5
2,co,9,8,0.2667052271994923,5
2,co,9,9,0.27560227449539343,5
