seed,met,rratio,mdkratio
1,250,4.0,1.4190055250474805
1,250,2.0,1.7290251462722075
1,250,1.3333333333333333,1.1514458569262263
1,250,1.0,1.3811590642500902
1,250,0.8,0.76587512301225
1,250,0.6666666666666666,1.5354880765252346
1,250,0.5714285714285714,2.0117129031707464
1,250,0.5,1.7348006155090128
2,500,4.0,1.3700943144813307
2,500,2.0,1.8254071007492347
2,500,1.3333333333333333,1.3678097975359125
2,500,1.0,2.25040692495791
2,500,0.8,1.537607862315276
2,500,0.6666666666666666,1.477317223406657
2,500,0.5714285714285714,1.3614955043369903
2,500,0.5,1.4781217056696632
3,750,4.0,0.983208210995349
3,750,2.0,1.681957413242187
3,750,1.3333333333333333,1.3162315017396409
3,750,1.0,1.8318943744151877
3,750,0.8,1.172526300977964
3,750,0.6666666666666666,1.065713185464783
3,750,0.5714285714285714,1.670191729746342
3,750,0.5,1.3285552035871886
4,1000,4.0,0.997089845746731
4,1000,2.0,1.217265607723798
4,1000,1.3333333333333333,1.2299281779710278
4,1000,1.0,1.303554092220532
4,1000,0.8,1.4602947755673712
4,1000,0.6666666666666666,1.7068790925535582
4,1000,0.5714285714285714,1.1428154926801923
4,1000,0.5,1.241348143195332
5,1250,4.0,1.6477375902742035
5,1250,2.0,1.773745180469577
5,1250,1.3333333333333333,1.323786061227574
5,1250,1.0,1.7119111569030285
5,1250,0.8,2.0660818976990054
5,1250,0.6666666666666666,1.2616624108140775
5,1250,0.5714285714285714,1.6316303544672373
5,1250,0.5,1.4200009208928708
6,1500,4.0,1.1806744289692728
6,1500,2.0,0.9332693697831563
6,1500,1.3333333333333333,1.0727780556123268
6,1500,1.0,1.2661966414548433
6,1500,0.8,1.4606147097838031
6,1500,0.6666666666666666,1.5127458964979077
6,1500,0.5714285714285714,0.9663037738063749
6,1500,0.5,1.679288816942677
7,1750,4.0,1.0868362307278125
7,1750,2.0,1.3297317695594906
7,1750,1.3333333333333333,1.9128515935983148
7,1750,1.0,1.3613281375521393
7,1750,0.8,0.9150656083489549
7,1750,0.6666666666666666,1.2274937810577504
7,1750,0.5714285714285714,1.8323073001648753
7,1750,0.5,1.3905479632173798
8,2000,4.0,1.9005494931360236
8,2000,2.0,1.448428630931859
8,2000,1.3333333333333333,1.2207137019325909
8,2000,1.0,1.3644402066598833
8,2000,0.8,1.2928042837462599
8,2000,0.6666666666666666,1.378406779908777
8,2000,0.5714285714285714,1.3816171334092175
8,2000,0.5,1.1933559050467797
