seed,met,rratio,mdkratio
1,250,4.0,1.3556702987140539
1,250,2.0,1.030232817186493
1,250,1.3333333333333333,1.4264731049415207
2,500,4.0,1.2482633265463017
2,500,2.0,1.7454216120572967
2,500,1.3333333333333333,1.454100976834247
3,750,4.0,1.0854751789640362
3,750,2.0,1.4209485986889265
3,750,1.3333333333333333,1.0063868975166388
