##culture:co#seed:763#rep:10#mu:(0.01, 0.01)#cycles:10#init_R:(1, 500, 0)#init_n:(5, 5)#init_lag:(1, 10)#Ta:5#alpha:(3, 3)#mut_func:null#max_lag_change:(1.1, 1.1)
culture,rep,cycle,phase_end,species,genotype,ngrow,nlag,lag,M,L,A
co,0,0,0,Escherichia coli,E0c0,0.0,5.0,1.0,1.0,500.0,0.0
co,0,0,0,Salmonella enterica,S0c0,0.0,5.0,10.0,1.0,500.0,0.0
co,0,0,1,Escherichia coli,E0c0,0.11391042243090325,0.03368973555715279,1.0,1.8189847548732685,497.5737876290786,1.0894301171111689
co,0,0,1,Salmonella enterica,S0c0,0.6063149222873693,3.0326532985601706,10.0,1.8189847548732685,497.5737876290786,1.0894301171111689
co,0,0,2,Escherichia coli,E0c0,496.1474951271715,-4.056628122020767e-16,1.0,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.7363253836676578,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Escherichia coli,E2c0,1.0,0.0,1.1730968517655174,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Escherichia coli,E3c0,1.0,0.0,2.0634277029428354,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Escherichia coli,E4c0,1.0,0.0,1.0859205779679435,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Salmonella enterica,S0c0,254.0934381562331,0.04547642479267349,10.0,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Salmonella enterica,S1c0,1.0,0.0,10.276091798326219,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,0,2,Salmonella enterica,S2c0,1.0,0.0,10.812662782972255,344.89992757100305,4.2520238105806245e-24,5.384456281187152e-12
co,0,1,1,Escherichia coli,E0c0,1.6859766331143111,1.6715077534515503,1.0,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Escherichia coli,E1c0,0.011472148996609827,0.028077358574416716,1.7363253836676578,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Escherichia coli,E2c0,0.005288141588504225,0.0070454739851506,1.1730968517655174,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Escherichia coli,E3c0,0.01431513707895141,0.044320866662281806,2.0634277029428354,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Escherichia coli,E4c0,0.004312301835961248,0.0050039109600786905,1.0859205779679435,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Salmonella enterica,S0c0,8.574721586090112,77.07152175974197,10.0,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Salmonella enterica,S1c0,0.03318267546183814,0.30736679149353885,10.276091798326219,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,1,Salmonella enterica,S2c0,0.032141434172279514,0.3148786462305209,10.812662782972255,193.67394040566154,376.701776084059,82.79554981471487
co,0,1,2,Escherichia coli,E0c0,484.97698452708374,-1.5984196213404677e-18,1.0,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
co,0,1,2,Escherichia coli,E1c0,4.475576009110561,8.913217497702349e-13,1.7363253836676578,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
co,0,1,2,Escherichia coli,E2c0,1.6873333805293105,2.267474670311854e-18,1.1730968517655174,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
co,0,1,2,Escherichia coli,E3c0,6.021130792745018,6.438696919746556e-11,2.0634277029428354,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
co,0,1,2,Escherichia coli,E4c0,1.3161892956142907,6.699461959241693e-20,1.0859205779679435,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
co,0,1,2,Escherichia coli,E5c1,1.0,0.0,1.9392496657563778,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
co,0,1,2,Escherichia coli,E6c1,1.0,0.0,1.9345726965828174,344.8999275710411,7.444600627181947e-24,-6.346452510499641e-11
