##culture:mono#seed:1#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(250, 1750, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
1,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,250.0,1750.0,0.0
1,mono,0,0,1,Escherichia coli,E0c0,0.06737946805451922,0.06752032781481672,0.13489979586933593,1.0,5,249.50673874981044,1745.0674062481032,4.981875501915862
1,mono,0,0,2,Escherichia coli,E0c0,8.062640951869367e-12,1749.134532267922,1749.13453226793,1.0,5,37.49999212500109,-2.987632219096925e-32,883.7498144125263
1,mono,0,0,2,Escherichia coli,E1c0,1.0,0.0,1.0,2.0122100832202885,5,37.49999212500109,-2.987632219096925e-32,883.7498144125263
1,mono,0,1,1,Escherichia coli,E0c0,5.892787860708769,5.907769834723136,11.800557695431905,1.0,5,244.33942681682677,1318.3943750432559,1319.6714293375942
1,mono,0,1,1,Escherichia coli,E1c0,0.041669860136772076,0.013858636208432208,0.055528496345204285,2.0122100832202885,5,244.33942681682677,1318.3943750432559,1319.6714293375942
1,mono,0,1,2,Escherichia coli,E0c0,8.4419037770018e-11,1755.3563623816292,1755.3563623817136,1.0,5,37.49999212500075,-1.3150828357430155e-37,883.7498144125185
1,mono,0,1,2,Escherichia coli,E1c0,7.49400357167734e-10,5.49935384945745,5.499353850206851,2.0122100832202885,5,37.49999212500075,-1.3150828357430155e-37,883.7498144125185
1,mono,0,1,2,Escherichia coli,E2c1,1.0,0.0,1.0,1.7778243004322123,5,37.49999212500075,-1.3150828357430155e-37,883.7498144125185
1,mono,0,2,1,Escherichia coli,E0c0,5.913749041392005,5.928850282469294,11.842599323861299,1.0,5,244.06308393551873,1315.6309462301786,1322.4624924387942
1,mono,0,2,1,Escherichia coli,E1c0,0.2291573057807407,0.07621414378825797,0.30537144956899864,2.0122100832202885,5,244.06308393551873,1315.6309462301786,1322.4624924387942
1,mono,0,2,1,Escherichia coli,E2c1,0.030029543988693046,0.011820124056696175,0.04184966804538922,1.7778243004322123,5,244.06308393551873,1315.6309462301786,1322.4624924387942
1,mono,0,2,2,Escherichia coli,E0c0,0.0,1728.1327512692558,1728.1327512692558,1.0,5,37.49999212500068,1.0064644427476574e-30,883.7498144125203
1,mono,0,2,2,Escherichia coli,E1c0,3.3237923615079187e-09,29.651646038128657,29.651646041452448,2.0122100832202885,5,37.49999212500068,1.0064644427476574e-30,883.7498144125203
1,mono,0,2,2,Escherichia coli,E2c1,1.3057593214853843e-10,4.405053103201181,4.405053103331756,1.7778243004322123,5,37.49999212500068,1.0064644427476574e-30,883.7498144125203
1,mono,0,3,1,Escherichia coli,E0c0,5.8220334173981385,5.836879095607982,11.65891251300612,1.0,5,244.11973835641854,1316.1974904391782,1321.890282787707
1,mono,0,3,1,Escherichia coli,E1c0,1.2355799433724028,0.4109336639944101,1.646513607366813,2.0122100832202885,5,244.11973835641854,1316.1974904391782,1321.890282787707
1,mono,0,3,1,Escherichia coli,E2c1,0.13228173593903014,0.05206814804929899,0.18434988398832913,1.7778243004322123,5,244.11973835641854,1316.1974904391782,1321.890282787707
1,mono,0,3,2,Escherichia coli,E0c0,0.0,1595.3679112729953,1595.3679112729953,1.0,5,37.49999212500075,2.0007262812095668e-28,883.7498144125203
1,mono,0,3,2,Escherichia coli,E1c0,4.903199442641612e-09,149.9251320180833,149.9251320229865,2.0122100832202885,5,37.49999212500075,2.0007262812095668e-28,883.7498144125203
1,mono,0,3,2,Escherichia coli,E2c1,9.899011186845445e-11,18.196362418182762,18.19636241828175,1.7778243004322123,5,37.49999212500075,2.0007262812095668e-28,883.7498144125203
1,mono,0,4,1,Escherichia coli,E0c0,5.374752191772044,5.388359365805046,10.76311155757709,1.0,5,244.40523691648937,1319.0524760398855,1319.0067473309916
1,mono,0,4,1,Escherichia coli,E1c0,6.247359282385055,2.0777456708874253,8.325104953272481,2.0122100832202885,5,244.40523691648937,1319.0524760398855,1319.0067473309916
1,mono,0,4,1,Escherichia coli,E2c1,0.5464284656740289,0.21508014567017908,0.761508611344208,1.7778243004322123,5,244.40523691648937,1319.0524760398855,1319.0067473309916
1,mono,0,4,2,Escherichia coli,E0c0,6.795555039517188e-14,1130.2825205220151,1130.2825205220151,1.0,5,37.499992125000816,2.2365479974155586e-24,883.7498144125199
1,mono,0,4,2,Escherichia coli,E1c0,8.711171686117078e-09,579.8748725794411,579.8748725881522,2.0122100832202885,5,37.499992125000816,2.2365479974155586e-24,883.7498144125199
1,mono,0,4,2,Escherichia coli,E2c1,1.0012485785848907e-10,57.69196043810916,57.691960438209286,1.7778243004322123,5,37.499992125000816,2.2365479974155586e-24,883.7498144125199
1,mono,0,4,2,Escherichia coli,E3c4,1.0,0.0,1.0,2.724097795894081,5,37.499992125000816,2.2365479974155586e-24,883.7498144125199
1,mono,0,4,2,Escherichia coli,E4c4,1.0,0.0,1.0,2.7513132690815083,5,37.499992125000816,2.2365479974155586e-24,883.7498144125199
1,mono,0,5,1,Escherichia coli,E0c0,3.807891842459468,3.817295429888934,7.625187272348402,1.0,5,245.37554856996186,1328.7555925746085,1309.2065996309204
1,mono,0,5,1,Escherichia coli,E1c0,24.163304837586562,8.03591478336273,32.19921962094929,2.0122100832202885,5,245.37554856996186,1328.7555925746085,1309.2065996309204
1,mono,0,5,1,Escherichia coli,E2c1,1.7324632637751365,0.6818882352446128,2.4143514990197494,1.7778243004322123,5,245.37554856996186,1328.7555925746085,1309.2065996309204
1,mono,0,5,1,Escherichia coli,E3c4,0.07976924412361491,0.018033175769761003,0.09780241989337592,2.724097795894081,5,245.37554856996186,1328.7555925746085,1309.2065996309204
1,mono,0,5,1,Escherichia coli,E4c4,0.08123077215988833,0.018141449051554626,0.09937222121144296,2.7513132690815083,5,245.37554856996186,1328.7555925746085,1309.2065996309204
