seed,met,rratio,mdkratio
1,250,4.0,1.4891351693403387
1,250,2.0,1.1559510175343046
1,250,1.3333333333333333,1.272170718626572
1,250,1.0,1.6634556211637865
1,250,0.8,0.7345743700646998
1,250,0.6666666666666666,1.453426102867073
1,250,0.5714285714285714,4.00626869987979
1,250,0.5,1.192768586913165
2,500,4.0,1.122253021311041
2,500,2.0,1.105500855821505
2,500,1.3333333333333333,0.7634391654513194
2,500,1.0,2.850981088437748
2,500,0.8,0.5428490482157317
2,500,0.6666666666666666,0.971913434860584
2,500,0.5714285714285714,1.3639830715015826
2,500,0.5,2.9950203884250692
3,750,4.0,1.773341674297101
3,750,2.0,5.4934301764827635
3,750,1.3333333333333333,0.7723018640016527
3,750,1.0,0.9918237900231127
3,750,0.8,3.8522194221471437
3,750,0.6666666666666666,1.644361256468572
3,750,0.5714285714285714,1.3921477607405406
3,750,0.5,1.3163168959913503
4,1000,4.0,0.6725383515587043
4,1000,2.0,1.3812601040708188
4,1000,1.3333333333333333,1.7714427833258772
4,1000,1.0,1.330977285103089
4,1000,0.8,1.172625012904004
4,1000,0.6666666666666666,1.5538224424894547
4,1000,0.5714285714285714,0.5158582380514072
4,1000,0.5,0.9318745534727
5,1250,4.0,1.2172294854039882
5,1250,2.0,1.3952427327041275
5,1250,1.3333333333333333,1.8145427794203237
5,1250,1.0,2.494552915662129
5,1250,0.8,1.2747750664098116
5,1250,0.6666666666666666,1.0713930879519562
5,1250,0.5714285714285714,1.2471759335152601
5,1250,0.5,1.5565022115676426
6,1500,4.0,1.4198712579416497
6,1500,2.0,0.9882834977261141
6,1500,1.3333333333333333,1.5655636185420774
6,1500,1.0,1.9625094074328333
6,1500,0.8,1.0153277927263662
6,1500,0.6666666666666666,2.098348868898589
6,1500,0.5714285714285714,1.7952135450527127
6,1500,0.5,1.3060812146332863
7,1750,4.0,0.7086355342931153
7,1750,2.0,1.2900506542632713
7,1750,1.3333333333333333,2.368605041174831
7,1750,1.0,3.158642281369098
7,1750,0.8,1.5657199220008338
7,1750,0.6666666666666666,1.35048155264053
7,1750,0.5714285714285714,1.632060236182488
7,1750,0.5,2.143502975267356
8,2000,4.0,1.4384821606618827
8,2000,2.0,1.3357142875357146
8,2000,1.3333333333333333,1.634676815970092
8,2000,1.0,2.7421596094277088
8,2000,0.8,1.784652320893682
8,2000,0.6666666666666666,0.8485419583478457
8,2000,0.5714285714285714,4.405139129146701
8,2000,0.5,1.5777104383307037
