seed,met,lac,mdkratio
1,1,1,0.7092643633971593
1,1,250,-1.0
1,1,500,-1.0
2,250,1,0.7332326217926027
2,250,250,1.4155939863615723
2,250,500,2.1683191236268122
3,500,1,0.7332326217926027
3,500,250,-1.0
3,500,500,0.9116223068252862
