##culture:mono#seed:3#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(500, 250, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
3,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1,5,500.0,250.0,0.0
3,mono,0,0,1,Escherichia coli,E0c0,0.06737946805435364,0.06771657803587817,0.13509604609023182,1,5,499.5067423123216,245.06754187321357,4.981776395554302
3,mono,0,0,2,Escherichia coli,E0c0,2.8055988574295943e-12,250.13504351806185,250.13504351806466,1,5,237.4999501250074,-8.277215068868781e-28,126.24997348750375
3,mono,0,1,1,Escherichia coli,E0c0,0.8426983259393316,0.8477818855332151,1.6904802114725466,1,5,731.3310797354087,188.31147422900185,188.55537504746243
3,mono,0,1,2,Escherichia coli,E0c0,1.1890832498492372e-09,251.69042735949805,251.69042736068712,1,5,237.49995012500472,-3.0844334123747456e-25,126.24997348750273
3,mono,0,2,1,Escherichia coli,E0c0,0.8479383728580898,0.8530704340770153,1.7010088069351053,1,5,731.2927215698928,187.92789257386798,188.94279251914685
3,mono,0,2,2,Escherichia coli,E0c0,8.50426371168895e-10,251.70095595312395,251.7009559539744,1,5,237.49995012500526,4.863778649675433e-24,126.24997348750264
3,mono,0,3,1,Escherichia coli,E0c0,0.8479738434092086,0.8531062338785468,1.7010800772877555,1,5,731.2924619185841,187.9252960607749,188.9454149973706
3,mono,0,3,2,Escherichia coli,E0c0,8.508965866348962e-10,251.70102722346198,251.70102722431287,1,5,237.49995012500528,4.74770689441386e-24,126.24997348750273
3,mono,0,4,1,Escherichia coli,E0c0,0.8479740835172273,0.8531064762152907,1.7010805597325178,1,5,731.2924601609483,187.92527848441284,188.94543274949632
