seed,culture,rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta,M,L,A
166,mono,0,0,0,Escherichia coli,E0c0,10.0,0.0,10.0,1.0,5,1000.0,1000.0,0.0
166,mono,0,0,1,Escherichia coli,E0c0,0.06737964745248162,0.06718549267488187,0.13456514012736348,1.0,5,999.5067032489718,995.0672574897176,4.982044685385316
166,mono,0,0,2,Escherichia coli,E0c0,4.998569131684008e-06,1000.1345116075294,1000.1345166060985,1.0,5,449.99990550000933,1.9332479274015617e-28,504.99989395001467
166,mono,0,1,1,Escherichia coli,E0c0,3.369426106459231,3.3597627380842665,6.729188844543497,1.0,5,1425.33296633777,753.3309458775824,754.13560073866
166,mono,0,1,2,Escherichia coli,E0c0,4.999928412070873e-06,1006.7291137350077,1006.729118734936,1.0,5,449.9999055000089,2.392945331577625e-39,504.9998939500122
166,mono,0,2,1,Escherichia coli,E0c0,3.3916442470908397,3.3819346782973807,6.77357892538822,1.0,5,1425.170320661008,751.7044891099555,755.7783220739587
166,mono,0,2,2,Escherichia coli,E0c0,4.99703953492055e-06,1005.7735055747055,1005.7735105717451,1.0,5,449.99990550001,0.0,504.9998939500108
166,mono,0,2,2,Escherichia coli,E1c2,1.0,0.0,1.0,1.5256033362504788,5,449.99990550001,0.0,504.9998939500108
166,mono,0,3,1,Escherichia coli,E0c0,3.3884261435691356,3.3787256346029415,6.767151778172077,1.0,5,1425.170293314339,751.7042156432199,755.7785982753617
166,mono,0,3,1,Escherichia coli,E1c2,0.018863553878858224,0.009212577138451757,0.02807613101730998,1.5256033362504788,5,1425.170293314339,751.7042156432199,755.7785982753617
166,mono,0,3,2,Escherichia coli,E0c0,4.99797591874652e-06,1003.4942978808159,1003.4943028787918,1.0,5,449.99990550000996,-3.791098484253501e-40,504.9998939500137
166,mono,0,3,2,Escherichia coli,E1c2,7.625268991418882e-06,3.300998880433984,3.301006505702975,1.5256033362504788,5,449.99990550000996,-3.791098484253501e-40,504.9998939500137
166,mono,0,4,1,Escherichia coli,E0c0,3.3807464351731102,3.3710676648007603,6.7518140999738705,1.0,5,1425.1722116937453,751.7233994373214,755.7592226433208
166,mono,0,4,1,Escherichia coli,E1c2,0.06226711981105044,0.03041049702001633,0.09267761683106676,1.5256033362504788,5,1425.1722116937453,751.7233994373214,755.7592226433208
166,mono,0,4,2,Escherichia coli,E0c0,4.996749247131068e-06,994.0052370587239,994.0052420554731,1.0,5,449.9999055000095,-3.137906308643998e-39,504.99989395001415
166,mono,0,4,2,Escherichia coli,E1c2,7.594579563575425e-06,10.839314383905062,10.839321978484627,1.5256033362504788,5,449.9999055000095,-3.137906308643998e-39,504.99989395001415
166,mono,0,4,2,Escherichia coli,E2c4,1.0,0.0,1.0,2.0687177411436712,5,449.9999055000095,-3.137906308643998e-39,504.99989395001415
166,mono,0,4,2,Escherichia coli,E3c4,1.0,0.0,1.0,1.3275632882921127,5,449.9999055000095,-3.137906308643998e-39,504.99989395001415
