##culture:mono#seed:7#rep:5#mu:(0.0003, 0)#cycles:10#init_R:(1750, 1000, 0)#init_n:(10, 0)#init_lag:(1, 0)#Ta:5#alpha:(3, 0)#mut_func:null#max_lag_change:(1.1, 0)
##init_pop:1000#duration:5
seed,culture,rep,cycle,frac,duration
7,mono,0,0,0.013440843113687238,5
7,mono,0,1,0.013467959409074151,5
7,mono,0,2,0.013510197958604996,5
7,mono,0,3,0.01362105133981733,5
7,mono,0,4,0.013893405743807949,5
7,mono,0,5,0.014565743343344836,5
7,mono,0,6,0.016142335891084443,5
7,mono,0,7,0.019434798060994622,5
7,mono,0,8,0.024863431353100908,5
7,mono,0,9,0.031128817742651582,5
7,mono,1,0,0.013440843113687238,5
7,mono,1,1,0.0134784004497051,5
7,mono,1,2,0.013556289279876883,5
7,mono,1,3,0.013794198114014179,5
7,mono,1,4,0.014508499445495829,5
7,mono,1,5,0.016547023012287315,5
7,mono,1,6,0.021612279700308254,5
7,mono,1,7,0.03080509272233372,5
7,mono,1,8,0.04079572940201679,5
7,mono,1,9,0.04707819831595305,5
7,mono,2,0,0.013440843113687238,5
7,mono,2,1,0.013440843113687238,5
7,mono,2,2,0.013440843113687238,5
7,mono,2,3,0.013541625965206217,5
7,mono,2,4,0.01400463054787928,5
7,mono,2,5,0.01652992955831429,5
7,mono,2,6,0.028661207884075893,5
7,mono,2,7,0.06397495494093507,5
7,mono,2,8,0.0994997198302558,5
7,mono,2,9,0.11178415687778809,5
7,mono,3,0,0.013440843113687238,5
7,mono,3,1,0.013473534188806745,5
7,mono,3,2,0.01353023002585815,5
7,mono,3,3,0.013687380829528884,5
7,mono,3,4,0.014118005260591959,5
7,mono,3,5,0.015353189307258461,5
7,mono,3,6,0.018477979148624934,5
7,mono,3,7,0.02532800873083089,5
7,mono,3,8,0.03643233433230039,5
7,mono,3,9,0.04905849292325283,5
7,mono,4,0,0.013440843113687238,5
7,mono,4,1,0.013440843113687238,5
7,mono,4,2,0.013440843113687238,5
7,mono,4,3,0.013440843113687238,5
7,mono,4,4,0.013531125303926854,5
7,mono,4,5,0.01391338461749887,5
7,mono,4,6,0.01587085648146164,5
7,mono,4,7,0.02490908135909155,5
7,mono,4,8,0.052665568321209735,5
7,mono,4,9,0.08613721838550331,5
