seed,met,rratio,fracratio
1,250,4.0,1.2232232244777979
1,250,2.0,0.9700097779721912
1,250,1.3333333333333333,1.0483125918363458
1,250,1.0,1.3980676922705888
1,250,0.8,0.6577496277845865
1,250,0.6666666666666666,1.1516110288547288
1,250,0.5714285714285714,3.314654443447364
1,250,0.5,1.0507476191878482
2,500,4.0,0.9699263888022631
2,500,2.0,0.9348750631219723
2,500,1.3333333333333333,0.6714742264737039
2,500,1.0,2.275867598979234
2,500,0.8,0.604445852196009
2,500,0.6666666666666666,0.9270890690473801
2,500,0.5714285714285714,1.119012482555452
2,500,0.5,2.2121634190553925
3,750,4.0,1.603668767616324
3,750,2.0,4.701673242376777
3,750,1.3333333333333333,0.6606992876327814
3,750,1.0,0.9053380374911978
3,750,0.8,2.7864982886963268
3,750,0.6666666666666666,1.4246492160300357
3,750,0.5714285714285714,1.1493777890452328
3,750,0.5,1.119664129847123
4,1000,4.0,0.6675468893442813
4,1000,2.0,1.2365553019145954
4,1000,1.3333333333333333,1.4287623533170575
4,1000,1.0,1.0941814180183929
4,1000,0.8,0.8571677424706844
4,1000,0.6666666666666666,1.284827932119549
4,1000,0.5714285714285714,0.40187573709624363
4,1000,0.5,0.9412595608591965
5,1250,4.0,1.0988681369722342
5,1250,2.0,1.1912234760140432
5,1250,1.3333333333333333,1.3393392178738632
5,1250,1.0,2.008333939214617
5,1250,0.8,1.1694609291637146
5,1250,0.6666666666666666,0.8969618454727976
5,1250,0.5714285714285714,1.2032516587464401
5,1250,0.5,1.315594467789997
6,1500,4.0,1.231297706562519
6,1500,2.0,0.7918603677920483
6,1500,1.3333333333333333,1.3845880048526042
6,1500,1.0,1.58331643200232
6,1500,0.8,0.9149306786561093
6,1500,0.6666666666666666,2.025831523538423
6,1500,0.5714285714285714,1.5282558547006888
6,1500,0.5,1.1904170057302503
7,1750,4.0,0.6219141292489407
7,1750,2.0,0.9648725697438211
7,1750,1.3333333333333333,2.1548140986768662
7,1750,1.0,2.8240706888146176
7,1750,0.8,1.29119744643476
7,1750,0.6666666666666666,1.2880809488662535
7,1750,0.5714285714285714,1.5003915448674743
7,1750,0.5,1.647141225853665
8,2000,4.0,1.2854135417201173
8,2000,2.0,1.107785983762794
8,2000,1.3333333333333333,1.4704615786618083
8,2000,1.0,2.1359024749346096
8,2000,0.8,1.515923248508514
8,2000,0.6666666666666666,0.8407940720067729
8,2000,0.5714285714285714,3.9060558509478933
8,2000,0.5,1.326422423409346
