seed,culture,rep,gen,tol_time
971Ta3s,co,0,0,3.3517512783592016
971Ta3s,co,0,1,3.3648564561406515
971Ta3s,co,0,2,3.3670414140730562
971Ta3s,co,0,3,3.367354403371956
971Ta3s,co,0,4,3.367396755536883
971Ta3s,co,0,5,3.36740235832149
971Ta3s,co,0,6,3.36740309311973
971Ta3s,co,0,7,3.3674031891731704
971Ta3s,co,0,8,3.3674032017143154
971Ta3s,co,0,9,3.3674032033508348
971Ta3s,co,0,10,3.3674032035642942
971Ta3s,co,0,11,3.367403203592257
971Ta3s,co,0,12,3.36740320359585
971Ta3s,co,0,13,3.367403203596261
971Ta3s,co,0,14,3.367403203596309
971Ta3s,co,0,15,3.367403203596389
971Ta3s,co,0,16,3.367403203596479
971Ta3s,co,0,17,3.3674032035965866
971Ta3s,co,0,18,3.3674032035964205
971Ta3s,co,0,19,3.3674032035964845
971Ta3s,co,1,0,3.3517512783592016
971Ta3s,co,1,1,3.3648564561406515
971Ta3s,co,1,2,3.3670414140730562
971Ta3s,co,1,3,3.367354403371956
971Ta3s,co,1,4,3.367396755536883
971Ta3s,co,1,5,3.36740235832149
971Ta3s,co,1,6,3.36740309311973
971Ta3s,co,1,7,3.3674031891731704
971Ta3s,co,1,8,3.3674032017143154
971Ta3s,co,1,9,3.3674032033508348
971Ta3s,co,1,10,3.3674032035642942
971Ta3s,co,1,11,3.367403203592257
971Ta3s,co,1,12,3.36740320359585
971Ta3s,co,1,13,3.367403203596261
971Ta3s,co,1,14,3.367403203596309
971Ta3s,co,1,15,3.367403203596389
971Ta3s,co,1,16,3.367403203596479
971Ta3s,co,1,17,3.3674032035965866
971Ta3s,co,1,18,3.3674032035964205
971Ta3s,co,1,19,3.3674032035964845
971Ta3s,co,2,0,3.3517512783592016
971Ta3s,co,2,1,3.3648564561406515
971Ta3s,co,2,2,3.3670414140730562
971Ta3s,co,2,3,3.862182325651608
971Ta3s,co,2,4,4.084666079190728
971Ta3s,co,2,5,4.250430241608133
971Ta3s,co,2,6,4.358566023963194
971Ta3s,co,2,7,4.4199356096812
971Ta3s,co,2,8,4.451522216288693
971Ta3s,co,2,9,4.466917560096051
971Ta3s,co,2,10,4.474215593992016
971Ta3s,co,2,11,4.477618235019473
971Ta3s,co,2,12,4.479199865934672
971Ta3s,co,2,13,4.479932656353657
971Ta3s,co,2,14,4.48027164226003
971Ta3s,co,2,15,4.4804283367172495
971Ta3s,co,2,16,4.4805007391954526
971Ta3s,co,2,17,4.480534185867655
971Ta3s,co,2,18,4.480549634293379
971Ta3s,co,2,19,4.480556768753106
971Ta3s,co,3,0,3.3517512783592016
971Ta3s,co,3,1,3.3648564561406515
971Ta3s,co,3,2,3.3670414140730562
971Ta3s,co,3,3,3.367354403371956
971Ta3s,co,3,4,3.4039327159505826
971Ta3s,co,3,5,3.4466988302851296
971Ta3s,co,3,6,3.4567012981391594
971Ta3s,co,3,7,3.463135395859766
971Ta3s,co,3,8,3.4688003635655296
971Ta3s,co,3,9,3.4739653295918864
971Ta3s,co,3,10,3.478666221538887
971Ta3s,co,3,11,3.4829050950318576
971Ta3s,co,3,12,3.4866856166389595
971Ta3s,co,3,13,3.4900240151909787
971Ta3s,co,3,14,3.4929461691638832
971Ta3s,co,3,15,3.4954826318021124
971Ta3s,co,3,16,3.4976561324617004
971Ta3s,co,3,17,3.796442228365892
971Ta3s,co,3,18,3.913651406479511
971Ta3s,co,3,19,4.003681835190724
971Ta3s,co,4,0,3.3517512783592016
971Ta3s,co,4,1,3.3648564561406515
971Ta3s,co,4,2,3.7658837999118058
971Ta3s,co,4,3,3.9340302849606967
971Ta3s,co,4,4,4.0546622105769226
971Ta3s,co,4,5,4.134976723712327
971Ta3s,co,4,6,4.182490969659544
971Ta3s,co,4,7,4.208491331145301
971Ta3s,co,4,8,4.222106020924525
971Ta3s,co,4,9,4.229048229859335
971Ta3s,co,4,10,4.232544997220569
971Ta3s,co,4,11,4.234297933640668
971Ta3s,co,4,12,4.235173539434733
