seed,culture,rep,gen,tol_time
215Ta3,co,0,0,3.3517512783592016
215Ta3,co,0,1,3.3648564561406515
215Ta3,co,0,2,3.3670414140730562
215Ta3,co,0,3,3.367354403371956
215Ta3,co,0,4,3.367396755536883
215Ta3,co,0,5,3.36740235832149
215Ta3,co,0,6,3.36740309311973
215Ta3,co,0,7,3.3674031891731704
215Ta3,co,0,8,3.3674032017143154
215Ta3,co,0,9,3.3674032033508348
215Ta3,co,0,10,3.3674032035642942
215Ta3,co,0,11,3.367403203592257
215Ta3,co,0,12,3.36740320359585
215Ta3,co,0,13,3.367403203596261
215Ta3,co,0,14,3.367403203596309
215Ta3,co,0,15,3.370012442245426
215Ta3,co,0,16,3.3715423607057504
215Ta3,co,0,17,3.3736095809075173
215Ta3,co,0,18,3.376636144138421
215Ta3,co,0,19,3.3810662719538302
215Ta3,co,1,0,3.3517512783592016
215Ta3,co,1,1,3.3648564561406515
215Ta3,co,1,2,3.3670414140730562
215Ta3,co,1,3,3.367354403371956
215Ta3,co,1,4,3.368440456285643
215Ta3,co,1,5,3.368710324594701
215Ta3,co,1,6,3.5753291511874323
215Ta3,co,1,7,3.6562643282214062
215Ta3,co,1,8,3.7018321666961653
215Ta3,co,1,9,3.737258725711141
215Ta3,co,1,10,3.7650656349351928
215Ta3,co,1,11,3.78632957954283
215Ta3,co,1,12,3.802342168071893
215Ta3,co,1,13,3.815843009391595
215Ta3,co,1,14,3.8256840354611192
215Ta3,co,1,15,3.833553849561607
215Ta3,co,1,16,3.840135283233189
215Ta3,co,1,17,3.845921735238556
215Ta3,co,1,18,3.8512601721825175
215Ta3,co,1,19,3.856420448146591
215Ta3,co,2,0,3.3517512783592016
215Ta3,co,2,1,3.3648564561406515
215Ta3,co,2,2,3.3670414140730562
215Ta3,co,2,3,3.367354403371956
215Ta3,co,2,4,3.367396755536883
215Ta3,co,2,5,3.36740235832149
215Ta3,co,2,6,3.36740309311973
215Ta3,co,2,7,3.3674031891731704
215Ta3,co,2,8,3.3674032017143154
215Ta3,co,2,9,3.3674032033508348
215Ta3,co,2,10,3.3674032035642942
215Ta3,co,2,11,3.367403203592257
215Ta3,co,2,12,3.36740320359585
215Ta3,co,2,13,3.367403203596261
215Ta3,co,2,14,3.742800499899458
215Ta3,co,2,15,3.89758768478891
215Ta3,co,2,16,4.007056892875956
215Ta3,co,2,17,4.080715049510481
215Ta3,co,2,18,4.125093137049452
215Ta3,co,2,19,4.149924224714929
215Ta3,co,3,0,3.3517512783592016
215Ta3,co,3,1,3.3648564561406515
215Ta3,co,3,2,3.603620581037658
215Ta3,co,3,3,3.6972233408341673
215Ta3,co,3,4,3.7569295936758667
215Ta3,co,3,5,3.8009975156086515
215Ta3,co,3,6,3.831894605835349
215Ta3,co,3,7,3.852356206509234
215Ta3,co,3,8,3.8653703748459547
215Ta3,co,3,9,3.873455057263928
215Ta3,co,3,10,3.8783936829572085
215Ta3,co,3,11,3.8836283857799816
215Ta3,co,3,12,3.8863008184020926
215Ta3,co,3,13,3.8885380732548733
215Ta3,co,3,14,3.890752920478794
215Ta3,co,3,15,3.893266519505801
215Ta3,co,3,16,3.896370541031889
215Ta3,co,3,17,3.9023077087997415
215Ta3,co,3,18,3.9080702695114216
215Ta3,co,3,19,3.915481578165519
215Ta3,co,4,0,3.3517512783592016
215Ta3,co,4,1,3.3648564561406515
215Ta3,co,4,2,3.3670414140730562
215Ta3,co,4,3,3.367354403371956
215Ta3,co,4,4,3.367396755536883
215Ta3,co,4,5,3.36740235832149
215Ta3,co,4,6,3.36740309311973
215Ta3,co,4,7,3.3674031891731704
215Ta3,co,4,8,3.3674032017143154
215Ta3,co,4,9,3.3674032033508348
215Ta3,co,4,10,3.3674032035642942
215Ta3,co,4,11,3.367403203592257
215Ta3,co,4,12,3.36740320359585
215Ta3,co,4,13,3.367403203596261
215Ta3,co,4,14,3.367403203596309
215Ta3,co,4,15,3.367403203596389
215Ta3,co,4,16,3.367403203596479
215Ta3,co,4,17,3.3674032035965866
215Ta3,co,4,18,3.3674032035964205
215Ta3,co,4,19,3.3674032035964845
215Ta3,co,5,0,3.3517512783592016
215Ta3,co,5,1,3.3648564561406515
215Ta3,co,5,2,3.3699374554553683
215Ta3,co,5,3,3.372132297826934
215Ta3,co,5,4,3.374840456712454
215Ta3,co,5,5,3.3789005706716337
