seed,culture,rep,gen,tol_time
450Ta3,mono,0,0,2.9764551029771003
450Ta3,mono,0,1,2.9764551029771003
450Ta3,mono,0,2,2.9764551029771003
450Ta3,mono,0,3,2.9764551029771003
450Ta3,mono,0,4,2.9764551029771003
450Ta3,mono,0,5,2.9764551029771003
450Ta3,mono,0,6,2.9764551029771003
450Ta3,mono,0,7,2.9764551029771003
450Ta3,mono,0,8,2.9764551029771003
450Ta3,mono,0,9,2.9764551029771003
450Ta3,mono,0,10,2.9764551029771003
450Ta3,mono,0,11,2.9764551029771003
450Ta3,mono,0,12,2.9764551029771003
450Ta3,mono,0,13,2.9764551029771003
450Ta3,mono,0,14,2.9764551029771003
450Ta3,mono,0,15,2.9764551029771003
450Ta3,mono,0,16,2.9764551029771003
450Ta3,mono,0,17,2.9764551029771003
450Ta3,mono,0,18,2.9764551029771003
450Ta3,mono,0,19,2.9764551029771003
450Ta3,mono,1,0,2.9764551029771003
450Ta3,mono,1,1,2.9764551029771003
450Ta3,mono,1,2,2.9764551029771003
450Ta3,mono,1,3,2.9764551029771003
450Ta3,mono,1,4,2.9764551029771003
450Ta3,mono,1,5,2.9764551029771003
450Ta3,mono,1,6,2.9764551029771003
450Ta3,mono,1,7,2.9764551029771003
450Ta3,mono,1,8,2.9764551029771003
450Ta3,mono,1,9,2.9764551029771003
450Ta3,mono,1,10,2.9764551029771003
450Ta3,mono,1,11,2.9764551029771003
450Ta3,mono,1,12,2.9764551029771003
450Ta3,mono,1,13,2.9764551029771003
450Ta3,mono,1,14,2.9764551029771003
450Ta3,mono,1,15,2.984454744177799
450Ta3,mono,1,16,2.991518770113972
450Ta3,mono,1,17,3.004659758450226
450Ta3,mono,1,18,3.0286514579405797
450Ta3,mono,1,19,3.07129286881032
450Ta3,mono,2,0,2.9764551029771003
450Ta3,mono,2,1,2.9764551029771003
450Ta3,mono,2,2,2.9764551029771003
450Ta3,mono,2,3,2.9764551029771003
450Ta3,mono,2,4,2.9764551029771003
450Ta3,mono,2,5,2.985393607981422
450Ta3,mono,2,6,2.994675920013176
450Ta3,mono,2,7,3.013337718808599
450Ta3,mono,2,8,3.0501100699600596
450Ta3,mono,2,9,3.1198175580352885
450Ta3,mono,2,10,3.2424585487748847
450Ta3,mono,2,11,3.4320518921220176
450Ta3,mono,2,12,3.6721834372588296
450Ta3,mono,2,13,3.908336617908231
450Ta3,mono,2,14,4.088657575813932
450Ta3,mono,2,15,4.201661120156313
450Ta3,mono,2,16,4.26419306667578
450Ta3,mono,2,17,4.296483051951382
450Ta3,mono,2,18,4.312585802272066
450Ta3,mono,2,19,4.320465489924035
450Ta3,mono,3,0,2.9764551029771003
450Ta3,mono,3,1,2.9764551029771003
450Ta3,mono,3,2,2.9764551029771003
450Ta3,mono,3,3,2.9764551029771003
450Ta3,mono,3,4,2.9764551029771003
450Ta3,mono,3,5,2.9764551029771003
450Ta3,mono,3,6,2.9764551029771003
450Ta3,mono,3,7,2.9764551029771003
450Ta3,mono,3,8,2.9764551029771003
450Ta3,mono,3,9,2.9764551029771003
450Ta3,mono,3,10,2.9764551029771003
450Ta3,mono,3,11,2.9764551029771003
450Ta3,mono,3,12,2.9764551029771003
450Ta3,mono,3,13,2.9764551029771003
450Ta3,mono,3,14,2.9764551029771003
450Ta3,mono,3,15,2.9764551029771003
450Ta3,mono,3,16,2.9764551029771003
450Ta3,mono,3,17,2.9764551029771003
450Ta3,mono,3,18,2.9764551029771003
450Ta3,mono,3,19,2.9764551029771003
450Ta3,mono,4,0,2.9764551029771003
450Ta3,mono,4,1,2.9764551029771003
450Ta3,mono,4,2,2.9764551029771003
450Ta3,mono,4,3,2.9764551029771003
450Ta3,mono,4,4,2.9764551029771003
450Ta3,mono,4,5,2.9764551029771003
450Ta3,mono,4,6,2.9764551029771003
450Ta3,mono,4,7,2.9764551029771003
450Ta3,mono,4,8,2.9764551029771003
450Ta3,mono,4,9,2.9764551029771003
450Ta3,mono,4,10,2.9764551029771003
450Ta3,mono,4,11,2.9764551029771003
450Ta3,mono,4,12,2.9764551029771003
450Ta3,mono,4,13,2.9764551029771003
450Ta3,mono,4,14,2.9764551029771003
450Ta3,mono,4,15,2.9764551029771003
450Ta3,mono,4,16,2.9764551029771003
450Ta3,mono,4,17,2.9764551029771003
450Ta3,mono,4,18,2.9764551029771003
450Ta3,mono,4,19,2.9764551029771003
450Ta3,mono,5,0,2.9764551029771003
450Ta3,mono,5,1,2.9764551029771003
450Ta3,mono,5,2,2.9764551029771003
450Ta3,mono,5,3,2.9764551029771003
450Ta3,mono,5,4,2.9764551029771003
450Ta3,mono,5,5,2.9764551029771003
450Ta3,mono,5,6,2.9764551029771003
450Ta3,mono,5,7,2.9764551029771003
450Ta3,mono,5,8,2.9764551029771003
450Ta3,mono,5,9,2.9764551029771003
450Ta3,mono,5,10,2.9764551029771003
450Ta3,mono,5,11,2.9764551029771003
450Ta3,mono,5,12,2.9764551029771003
450Ta3,mono,5,13,2.9764551029771003
450Ta3,mono,5,14,2.9764551029771003
450Ta3,mono,5,15,2.9764551029771003
450Ta3,mono,5,16,2.9764551029771003
450Ta3,mono,5,17,2.9764551029771003
450Ta3,mono,5,18,2.9764551029771003
450Ta3,mono,5,19,2.9764551029771003
450Ta3,mono,6,0,2.9764551029771003
450Ta3,mono,6,1,2.9764551029771003
450Ta3,mono,6,2,2.9764551029771003
450Ta3,mono,6,3,2.9764551029771003
450Ta3,mono,6,4,2.9764551029771003
450Ta3,mono,6,5,2.9764551029771003
450Ta3,mono,6,6,2.9764551029771003
