rep,gen,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
0,10,2,Salmonella enterica,S0g0,1.0337756375950257e-09,252.99997470146866,252.99997470250244,1.0,3
0,11,1,Escherichia coli,E0g0,12.529270080149514,11.975324770434222,24.504594850583736,1.0,3
0,11,1,Escherichia coli,E1g10,43.25285745239644,20.495535056522616,63.74839250891905,1.5418069012688669,3
0,11,1,Salmonella enterica,S0g0,12.59612704841364,39.562207647632064,52.158334696045706,1.0,3
0,11,2,Escherichia coli,E0g0,1.2906917040163155e-08,175.84075139098803,175.84075140389496,1.0,3
0,11,2,Escherichia coli,E1g10,5.0278865983398796e-05,368.2856377823852,368.28568806125116,1.5418069012688669,3
0,11,2,Salmonella enterica,S0g0,1.2975789156108972e-08,278.5791395086583,278.57913952163403,1.0,3
0,12,1,Escherichia coli,E0g0,8.754595512676051,8.36657108325355,17.1211665959296,1.0,3
0,12,1,Escherichia coli,E1g10,52.619670317086964,24.931633247940262,77.55130356502723,1.5418069012688669,3
0,12,1,Salmonella enterica,S0g0,13.869638666291731,46.11682432963631,59.986462995928036,1.0,3
0,12,2,Escherichia coli,E0g0,9.042802879776637e-09,117.8407668331208,117.8407668421636,1.0,3
0,12,2,Escherichia coli,E1g10,6.11784185346714e-05,429.4953525509866,429.49541372940513,1.5418069012688669,3
0,12,2,Salmonella enterica,S0g0,1.432623680804828e-08,282.4932032690477,282.49320328337393,1.0,3
0,13,1,Escherichia coli,E0g0,5.866946314239956,5.606816973051785,11.473763287291742,1.0,3
0,13,1,Escherichia coli,E1g10,61.36515158094752,29.074923271669213,90.44007485261673,1.5418069012688669,3
0,13,1,Salmonella enterica,S0g0,14.06450842280347,48.55440085494117,62.61890927774464,1.0,3
0,13,2,Escherichia coli,E0g0,6.0597929046318925e-09,75.03787562956886,75.03787563562865,1.0,3
0,13,2,Escherichia coli,E1g10,7.134589550088491e-05,475.91891724393855,475.91898858983404,1.5418069012688669,3
0,13,2,Salmonella enterica,S0g0,1.4526808970567296e-08,283.8094262785269,283.8094262930537,1.0,3
0,14,1,Escherichia coli,E0g0,3.735915839019179,3.570254049080102,7.306169888099281,1.0,3
0,14,1,Escherichia coli,E1g10,67.9980273124907,32.21746125255223,100.21548856504293,1.5418069012688669,3
0,14,1,Salmonella enterica,S0g0,14.130039289754768,49.93453659951087,64.06457588926564,1.0,3
0,14,2,Escherichia coli,E0g0,3.858088234799284e-09,46.003752222965474,46.003752226823565,1.0,3
0,14,2,Escherichia coli,E1g10,7.905702199326349e-05,507.75694283808537,507.75702189510736,1.5418069012688669,3
0,14,2,Salmonella enterica,S0g0,1.45921216350934e-08,284.53225951211044,284.53225952670255,1.0,3
0,15,1,Escherichia coli,E0g0,2.2903919547253695,2.1888240158769614,4.479215970602331,1.0,3
0,15,1,Escherichia coli,E1g10,72.54696003154734,34.37268428431877,106.91964431586612,1.5418069012688669,3
0,15,1,Salmonella enterica,S0g0,14.166027042024778,50.822488281445196,64.98851532346997,1.0,3
0,15,2,Escherichia coli,E0g0,2.365162838180482e-09,27.498319860850167,27.49831986321533,1.0,3
0,15,2,Escherichia coli,E1g10,8.43452981238175e-05,528.2009706501406,528.2010549954387,1.5418069012688669,3
0,15,2,Salmonella enterica,S0g0,1.4628483415399071e-08,284.99422918299877,284.99422919762725,1.0,3
0,16,1,Escherichia coli,E0g0,1.3690607298469757,1.3083478702076778,2.6774086000546538,1.0,3
0,16,1,Escherichia coli,E1g10,75.46794859247356,35.756613762197304,111.22456235467087,1.5418069012688669,3
0,16,1,Salmonella enterica,S0g0,14.18902716123461,51.38922708349916,65.57825424473377,1.0,3
0,16,2,Escherichia coli,E0g0,1.4140372631126893e-09,16.17625638927509,16.176256390689126,1.0,3
0,16,2,Escherichia coli,E1g10,8.774223704909882e-05,540.7745859436521,540.7746736858892,1.5418069012688669,3
0,16,2,Salmonella enterica,S0g0,1.465516663780508e-08,285.2890986140661,285.28909862872126,1.0,3
0,17,1,Escherichia coli,E0g0,0.8053683817274256,0.7696527263379069,1.5750211080653327,1.0,3
0,17,1,Escherichia coli,E1g10,77.26443347064064,36.607768011187595,113.87220148182823,1.5418069012688669,3
0,17,1,Salmonella enterica,S0g0,14.203707838071713,51.7387574119507,65.94246525002241,1.0,3
0,17,2,Escherichia coli,E0g0,8.312245710507128e-10,9.423772983795907,9.423772984627131,1.0,3
0,17,2,Escherichia coli,E1g10,8.98275936385093e-05,548.2996930101963,548.29978283779,1.5418069012688669,3
0,17,2,Salmonella enterica,S0g0,1.4659715011052225e-08,285.47120409880057,285.47120411346026,1.0,3
0,18,1,Escherichia coli,E0g0,0.46918202913067447,0.44837505954301643,0.9175570886736909,1.0,3
0,18,1,Escherichia coli,E1g10,78.3396008616825,37.117170495450836,115.45677135713333,1.5418069012688669,3
0,18,1,Salmonella enterica,S0g0,14.212774333891673,51.948209823485364,66.16098415737704,1.0,3
0,18,2,Escherichia coli,E0g0,4.84322323587455e-10,5.4583056923164825,5.4583056928008045,1.0,3
0,18,2,Escherichia coli,E1g10,9.107817671642356e-05,552.7287119363456,552.7288030145223,1.5418069012688669,3
0,18,2,Salmonella enterica,S0g0,1.467141421159698e-08,285.58046354154465,285.58046355621605,1.0,3
0,19,1,Escherichia coli,E0g0,0.2717530391572043,0.25970146134538225,0.5314545005025866,1.0,3
0,19,1,Escherichia coli,E1g10,78.97240739205358,37.41698723964438,116.38939463169797,1.5418069012688669,3
0,19,1,Salmonella enterica,S0g0,14.21821408751157,52.0713619038748,66.28957599138637,1.0,3
0,19,2,Escherichia coli,E0g0,2.8040632267555867e-10,3.1507671522303315,3.150767152510738,1.0,3
0,19,2,Escherichia coli,E1g10,9.18121182274664e-05,555.3095100605102,555.3096018726284,1.5418069012688669,3
0,19,2,Salmonella enterica,S0g0,1.467095690873225e-08,285.64475945222796,285.6447594668989,1.0,3
1,0,0,Escherichia coli,E0g0,10.0,0.0,10.0,1.0,3
1,0,0,Salmonella enterica,S0g0,10.0,0.0,10.0,1.0,3
1,0,1,Escherichia coli,E0g0,0.4978706824350985,0.8045517555147962,1.3024224379498948,1.0,3
1,0,1,Salmonella enterica,S0g0,0.4978706824350985,5.29741300291394,5.795283685349038,1.0,3
1,0,2,Escherichia coli,E0g0,2.6473063344746193e-10,500.65116115483426,500.651161155099,1.0,3
1,0,2,Salmonella enterica,S0g0,2.6473063344746193e-10,255.39761630391143,255.39761630417615,1.0,3
1,1,1,Escherichia coli,E0g0,24.925953608700198,23.82354625432634,48.74949986302654,1.0,3
1,1,1,Salmonella enterica,S0g0,12.715498594036719,39.9871771343641,52.70267572840082,1.0,3
1,1,2,Escherichia coli,E0g0,2.744086957170888e-08,524.3746975289148,524.3746975563556,1.0,3
1,1,2,Salmonella enterica,S0g0,1.39984348827726e-08,278.8513099968344,278.85131001083283,1.0,3
1,2,1,Escherichia coli,E0g0,26.10707893777033,24.95098777952721,51.058066717297535,1.0,3
1,2,1,Salmonella enterica,S0g0,13.883189246695277,43.98868404599813,57.87187329269341,1.0,3
1,2,2,Escherichia coli,E0g0,2.8228629077972783e-08,525.528980842787,525.5289808710156,1.0,3
1,2,2,Salmonella enterica,S0g0,1.5011384482352267e-08,281.43590852247615,281.43590853748753,1.0,3
1,3,1,Escherichia coli,E0g0,26.16454732031317,25.005714451767524,51.17026177208069,1.0,3
1,3,1,Salmonella enterica,S0g0,14.01186883044941,44.48904905031025,58.50091788075966,1.0,3
1,3,2,Escherichia coli,E0g0,2.4480646765525996e-08,525.5850783684607,525.5850783929413,1.0,3
1,3,2,Salmonella enterica,S0g0,1.3110091563722484e-08,281.7504307873172,281.7504308004273,1.0,3
1,4,1,Escherichia coli,E0g0,26.16734025151524,25.008357274394754,51.175697525909996,1.0,3
1,4,1,Salmonella enterica,S0g0,14.027527971891537,44.55345372895491,58.58098170084645,1.0,3
1,4,2,Escherichia coli,E0g0,2.8170759208031233e-08,525.587796241421,525.5877962695918,1.0,3
1,4,2,Salmonella enterica,S0g0,1.5101500916419525e-08,281.7904626913435,281.790462706445,1.0,3
1,5,1,Escherichia coli,E0g0,26.16747556663143,25.008483102107615,51.17595866873904,1.0,3
1,5,1,Salmonella enterica,S0g0,14.02952104313781,44.561813785881164,58.591334829018976,1.0,3
1,5,2,Escherichia coli,E0g0,2.8264532911731513e-08,525.5879268127297,525.5879268409942,1.0,3
1,5,2,Salmonella enterica,S0g0,1.515384463506726e-08,281.7956392548724,281.79563927002624,1.0,3
1,6,1,Escherichia coli,E0g0,26.16748206739956,25.008488856407695,51.175970923807256,1.0,3
1,6,1,Salmonella enterica,S0g0,14.029778769063357,44.562902389425574,58.59268115848893,1.0,3
1,6,2,Escherichia coli,E0g0,2.822984602497036e-08,525.5879329402954,525.5879329685253,1.0,3
1,6,2,Salmonella enterica,S0g0,1.5135521766933042e-08,281.7963124195442,281.79631243467975,1.0,3
1,7,1,Escherichia coli,E0g0,26.167482372471397,25.0084890880077,51.1759714604791,1.0,3
1,7,1,Salmonella enterica,S0g0,14.029812283958021,44.563044312519985,58.59285659647801,1.0,3
1,7,2,Escherichia coli,E0g0,2.8228209294345574e-08,525.5879332086334,525.5879332368617,1.0,3
1,7,2,Salmonella enterica,S0g0,1.513468020650413e-08,281.7964001385844,281.79640015371905,1.0,3
1,8,1,Escherichia coli,E0g0,26.16748238583119,25.008489092946096,51.175971478777285,1.0,3
1,8,1,Salmonella enterica,S0g0,14.02981665123188,44.5630628236954,58.59287947492727,1.0,3
1,8,2,Escherichia coli,E0g0,2.8228007091230182e-08,525.5879332177828,525.5879332460108,1.0,3
1,8,2,Salmonella enterica,S0g0,1.5134576497147152e-08,281.7964115777219,281.7964115928565,1.0,3
1,9,1,Escherichia coli,E0g0,26.16748238628664,25.00848909235973,51.175971478646375,1.0,3
1,9,1,Salmonella enterica,S0g0,14.029817220752982,44.5630652385187,58.592882459271685,1.0,3
1,9,2,Escherichia coli,E0g0,2.822798004833018e-08,525.5879332177163,525.5879332459443,1.0,3
1,9,2,Salmonella enterica,S0g0,1.513456261294577e-08,281.79641307000475,281.7964130851393,1.0,3
1,10,1,Escherichia coli,E0g0,26.167482386283357,25.008489092223115,51.17597147850647,1.0,3
1,10,1,Salmonella enterica,S0g0,14.029817295049371,44.56306555358346,58.59288284863283,1.0,3
1,10,2,Escherichia coli,E0g0,2.8228086025895065e-08,525.5879332176468,525.5879332458749,1.0,3
